forecast_day,mae_original,rmse_original,bias_original
1,310.82764,397.9551,-132.20003
2,323.90842,403.49823,-118.52129
3,325.8284,413.80112,-128.67418
4,304.9661,395.2579,-132.24316
5,277.12225,366.67075,-127.73211
6,271.97098,356.12027,-106.90789
7,283.86536,350.08664,-70.849396
8,288.50528,339.73218,-3.9952834
9,288.16824,332.65692,54.949352
10,291.1933,335.90372,53.17971
11,293.2086,339.02896,28.67215
12,288.77417,337.09662,10.29878
13,288.51334,339.52942,-6.0998974
14,279.59003,332.96692,10.5078535
15,281.44257,331.21967,5.802985
16,276.35098,325.8349,2.6781414
17,278.2409,327.89276,5.630222
18,270.59143,321.45126,9.918308
19,260.35782,308.18433,59.79057
20,262.09338,310.90442,83.80943
21,281.30154,329.74088,108.436424
22,277.83466,327.16876,114.90714
23,267.3494,315.5048,97.52517
24,259.88434,309.9837,81.10551
25,284.3969,359.005,134.94702
26,295.28412,372.95056,161.80931
27,300.30405,383.95993,182.72646
28,311.4453,395.03323,193.05139
29,309.411,402.8245,166.77399
30,292.8659,388.13556,135.55576
31,296.58582,386.44305,141.35027
32,302.97125,391.11652,171.27367
33,309.72733,402.0231,200.93732
34,300.0455,397.71304,192.28137
35,302.1784,401.08893,164.28986
36,295.6973,390.30716,128.78372
37,296.74185,391.8104,125.01492
38,305.02426,409.40088,141.46352
39,310.86462,418.19748,163.66226
40,328.73575,435.12375,194.20068
41,343.63538,447.29367,202.61649
42,344.29276,449.02,200.26065
43,331.70923,439.40646,203.85529
44,313.89856,424.1176,188.65814
45,297.82968,413.6572,171.96547
46,302.04285,416.1407,157.08781
47,307.25598,422.8581,156.63861
48,296.95898,418.9254,123.264175
49,307.13568,424.8454,103.03494
50,311.7964,427.8607,110.38897
51,320.2122,432.37967,129.07344
52,324.1914,435.40793,146.01051
53,317.71146,429.8973,142.29135
54,305.8344,423.23682,120.481255
55,308.10767,425.07666,79.90157
56,318.82605,434.57852,63.39266
57,315.29706,428.77307,55.327
58,315.27325,426.91992,68.99162
59,318.04724,429.55722,48.829426
60,308.2475,427.89856,16.27774
61,276.68323,381.58447,-60.075195
62,288.41034,387.24194,-91.15947
63,309.87753,420.54297,-112.319
64,298.6942,407.01505,-101.70858
65,270.04443,361.59543,-44.60796
66,288.67557,379.5274,-44.830708
67,295.24442,385.71823,-47.798244
68,299.23892,388.76062,-64.12454
69,313.428,398.41638,-75.056404
70,343.28027,447.04034,-90.97449
71,342.9115,447.83832,-77.365555
72,346.96667,450.81015,-77.248604
73,348.42047,452.62268,-132.56679
74,332.21353,431.69467,-167.50038
75,351.90228,454.81644,-202.14665
76,359.8097,462.4755,-218.64049
77,355.70926,455.16266,-200.84085
78,352.32187,448.14252,-194.33514
79,360.53534,455.48676,-220.37505
80,372.19644,465.70157,-256.05032
81,369.53018,460.71106,-244.62823
82,360.92615,446.449,-215.90213
83,338.6169,423.90576,-184.1431
84,343.2588,420.40036,-160.78265
85,341.55637,415.5491,-159.63239
86,348.13293,422.27057,-191.18126
87,341.11594,420.80585,-194.27425
88,342.21548,424.64026,-205.00218
89,326.89218,408.32025,-174.78223
90,330.61838,407.15726,-144.66815
91,341.1262,416.05075,-145.5221
92,350.38077,425.06277,-177.33374
93,365.01688,442.26373,-217.03723
94,365.28613,444.34814,-225.6217
95,377.3244,474.3378,-164.57489
96,375.5299,467.52374,-123.77169
97,396.47064,489.03656,-83.083405
98,416.70276,503.19342,-70.897675
99,417.11935,501.52884,-40.246174
100,423.1729,507.99176,-20.987148
101,448.51108,541.21423,27.909416
102,447.44006,541.42084,72.98824
103,463.72476,559.43317,32.201828
104,467.2272,560.3435,-7.5676813
105,474.85583,564.0431,-44.766666
106,457.43518,535.73553,-39.56507
107,439.1997,524.77106,-5.8091736
108,439.21854,528.2745,21.186758
109,431.35403,524.8532,67.05502
110,423.5805,519.18243,43.669804
111,406.79333,503.08472,44.05151
112,403.84076,498.01184,34.600044
113,397.06985,497.31503,50.937786
114,387.24805,500.09442,69.54693
115,387.14172,504.84686,91.92148
116,390.7293,507.53293,92.48433
117,380.72864,499.9246,61.03382
118,379.03555,495.13947,47.62521
119,387.48328,499.01547,39.952072
120,378.4552,497.55984,63.8938
121,375.34106,499.86642,82.00603
122,373.55804,499.78995,88.503296
123,371.49744,497.84668,72.00016
124,356.52798,483.58234,75.29801
125,359.06396,485.59033,54.123096
126,361.8493,490.7501,45.65003
127,362.76807,495.3296,62.59175
128,362.9837,499.24823,72.779976
129,354.58884,494.69604,73.06252
130,347.28265,488.5644,53.8018
131,320.8141,438.35864,31.36536
132,315.3175,438.0638,29.145294
133,292.5812,411.34494,18.106985
134,279.28647,395.98798,-4.743503
135,266.367,368.77576,-42.221966
136,274.073,372.93198,-72.79214
137,250.37888,323.01236,-126.847115
138,237.79858,311.9001,-147.39958
139,208.14417,265.6496,-114.72332
140,206.17885,261.43793,-104.79156
141,209.20209,267.94128,-104.985085
142,200.16682,256.23462,-96.305824
143,199.71037,253.09398,-89.10856
144,185.99113,239.22705,-58.711445
145,179.8952,231.02338,-53.410652
146,187.297,236.57178,-47.9692
147,191.55292,241.75072,-66.93058
148,193.50922,245.09436,-87.87664
149,209.05267,258.7471,-106.382256
150,215.1926,263.1015,-106.51883
151,211.40771,260.62924,-85.72104
152,218.94269,263.59235,-48.008854
153,229.9031,268.966,-33.057632
154,238.44783,279.7648,-22.429602
155,226.6441,269.37518,-12.146815
156,225.93085,268.72333,8.496757
157,231.20027,272.4345,36.744263
158,247.22266,295.86176,37.244583
159,249.52327,297.89124,43.98717
160,254.84082,298.1262,36.366035
161,257.12683,302.0663,22.006107
162,241.5459,293.2101,30.44083
163,238.76863,291.51736,35.942
164,238.99384,291.84848,48.760353
165,243.33197,297.7814,52.142464
166,246.57652,299.317,43.790085
