forecast_day,mae_original,rmse_original,bias_original
1,211.52698,278.32947,-52.422382
2,218.39992,283.23175,-54.78078
3,227.52235,290.2861,-61.828667
4,229.5507,290.3878,-66.48649
5,231.7513,293.60065,-70.06185
6,232.24596,295.30182,-81.597115
7,233.81483,297.9059,-92.19144
8,234.99413,299.9121,-96.96461
9,233.95634,298.95404,-97.97782
10,232.46303,297.57004,-99.661476
11,235.71011,299.91705,-103.38844
12,235.47173,298.9959,-99.80554
13,234.36923,298.4816,-96.02461
14,234.49782,300.12222,-99.16564
15,233.22978,299.61557,-95.35832
16,232.11136,299.17508,-94.68481
17,234.5877,300.78833,-92.111374
18,233.4766,298.60837,-87.58288
19,234.33792,298.05206,-78.80299
20,231.5931,294.98038,-78.00919
21,232.59633,297.68832,-84.719345
22,233.04149,297.88998,-78.223694
23,236.05922,303.36566,-67.402954
24,234.22423,301.5704,-66.59323
25,235.72601,303.40384,-60.504017
26,234.62389,301.7388,-55.632923
27,235.74174,302.29507,-54.654907
28,236.02338,303.36218,-57.461533
29,234.44191,301.29962,-54.464676
30,230.98169,296.56787,-45.533264
31,232.9437,297.53708,-41.826622
32,235.60277,298.3381,-32.80245
33,233.57864,296.02295,-29.693441
34,236.76305,298.3023,-30.020748
35,237.44858,299.11713,-35.01067
36,235.00627,296.53857,-33.534863
37,229.46367,291.00955,-27.57694
38,230.09329,291.94662,-30.579998
39,232.71268,293.79907,-33.477467
40,234.58575,294.56137,-29.397015
41,234.6675,294.99475,-34.103138
42,234.99652,296.21423,-35.064404
43,233.80307,295.1083,-31.600597
44,230.19986,290.2874,-28.270674
45,228.33517,289.42123,-26.587383
46,227.34093,288.85327,-25.688719
47,230.68266,292.23517,-26.334423
48,233.86969,296.92047,-31.709093
49,234.20972,297.42477,-36.578163
50,236.17322,301.83762,-27.853533
51,235.88052,301.7368,-17.533957
52,242.8223,317.9361,-28.172092
53,246.33913,320.48117,-32.668884
54,248.6812,321.53586,-31.81407
55,245.96576,318.8369,-24.513922
56,245.96786,319.48486,-26.066036
57,248.33092,322.46365,-25.420444
58,252.34402,327.19766,-26.861593
59,252.76353,327.37546,-19.592775
60,254.02365,328.56696,-8.353563
61,253.6133,327.87027,-1.9222897
62,251.56151,326.8778,-1.4987875
63,251.81427,326.96072,-2.4432194
64,253.16664,328.1449,-5.791514
65,251.35255,326.56216,-7.388811
66,251.65802,326.56406,-11.691333
67,252.89587,327.2997,-8.017241
68,253.98593,327.9122,-1.3098078
69,260.94724,340.06244,-4.1881166
70,261.22348,340.77682,-2.592177
71,261.20612,341.12186,-1.3837256
72,261.30194,341.24402,-1.4930848
73,261.08713,341.00266,-1.2322594
74,263.6078,342.35266,-2.3194282
75,264.97635,343.11545,-4.0590177
76,263.5973,342.56522,-9.313604
77,262.31793,342.07083,-13.650966
78,260.91998,341.21094,-15.341384
79,260.6259,340.6978,-16.663824
80,260.0964,340.43008,-17.451918
81,260.9107,340.81226,-12.413607
82,259.32086,338.7433,-2.7949998
83,256.78677,336.2849,5.249608
84,252.91061,329.96286,13.299809
85,254.27568,330.53436,11.474283
86,262.35202,347.2296,19.192402
87,261.70728,346.85135,18.04907
88,264.34567,348.02472,24.261381
89,264.57074,347.98468,28.358698
90,265.0882,348.8052,33.47689
