forecast_day,mae_original,rmse_original,bias_original
1,288.43066,358.4268,-14.84554
2,287.2736,355.79773,-31.057568
3,286.06342,352.05676,-45.751846
4,278.50485,345.49088,-48.275352
5,277.05334,344.20633,-41.41547
6,273.71085,340.19608,-44.2475
7,272.41333,339.44907,-54.839214
8,272.82352,340.29846,-65.291664
9,268.05997,336.15726,-63.718594
10,261.6764,327.35474,-55.307575
11,260.4037,326.98917,-58.800594
12,263.99155,330.02063,-69.082344
13,266.7192,332.49313,-86.40642
14,270.0838,336.64105,-109.11192
15,268.17883,336.42465,-115.32509
16,263.36978,329.85718,-108.416885
17,261.73828,326.53607,-97.00607
18,265.741,330.00543,-102.1224
19,274.34265,337.5246,-115.74817
20,276.49356,338.35452,-131.75757
21,277.31833,340.77115,-140.21333
22,268.0638,332.30133,-117.06112
23,255.91331,319.67044,-68.530716
24,248.75212,311.6961,-31.16295
25,248.28648,312.47086,-16.825878
26,252.53944,315.79807,-28.574184
27,258.1249,319.54312,-55.6751
28,261.02734,323.59418,-86.97873
29,264.04263,326.07697,-102.40658
30,255.42982,317.62387,-92.97638
31,254.08707,315.15643,-86.01619
32,254.38309,316.52368,-87.94006
33,260.57358,321.28955,-96.00786
34,261.2008,324.29517,-97.23667
35,261.60605,326.2952,-103.43612
36,270.77655,334.011,-123.92291
37,279.2458,344.90384,-157.4048
38,301.22192,368.93286,-201.44301
39,320.498,389.57965,-233.90747
40,319.19537,387.80783,-231.36577
41,306.82285,373.5254,-207.57388
42,285.9406,351.2245,-168.86476
43,275.29456,336.56396,-138.26613
44,269.54715,327.60797,-124.90695
45,268.85986,328.11707,-126.29496
46,268.16748,329.45932,-130.551
47,268.5685,330.0735,-113.71975
48,263.87186,327.66327,-79.45731
49,258.43744,321.67474,-56.14896
50,264.2944,328.62973,-59.151028
51,272.7589,335.19556,-86.89435
52,294.0127,363.01382,-137.87643
53,309.88998,381.46762,-174.92735
54,320.7481,393.179,-185.04036
55,316.874,388.9464,-164.69064
56,312.6072,383.0595,-149.21786
57,314.70804,382.78598,-145.17744
58,316.71628,385.0188,-149.61154
59,315.97894,383.0887,-144.9896
60,316.35632,384.05554,-137.63774
61,319.8535,389.0422,-135.92662
62,326.86462,398.10028,-147.59058
63,338.14853,410.05588,-168.66454
64,346.37842,418.81406,-184.79231
65,338.16025,410.24838,-169.29462
66,324.53586,392.274,-127.2787
67,314.46957,379.01877,-78.2454
68,311.19388,377.342,-53.072456
69,319.28412,390.4133,-74.0703
70,328.4518,402.0433,-116.66638
71,346.7429,422.58475,-165.46355
72,356.99963,436.9377,-195.03653
73,353.77112,432.57065,-189.25269
74,344.3503,419.94052,-162.84706
75,339.3352,410.31595,-136.84079
76,337.0802,407.4961,-131.24098
77,338.04535,409.91086,-142.04555
78,343.73813,415.89752,-155.37373
79,344.1764,416.48547,-153.45593
80,340.22855,410.03143,-133.34558
81,336.67255,405.9724,-112.71875
82,333.0951,405.5488,-102.27158
83,331.51425,406.2472,-101.87167
84,330.37662,402.9595,-100.63955
85,332.05557,405.49823,-105.43712
86,340.52307,417.91385,-96.383224
87,342.59253,417.94485,-98.333206
88,343.6614,419.91577,-101.293816
89,342.30322,421.4351,-102.896675
90,342.07855,420.87125,-90.635796
