forecast_day,mae_original,rmse_original,bias_original
1,443.2915,541.053,98.6652
2,660.87964,793.37646,386.57666
3,881.6854,1052.8668,624.8188
4,1021.2013,1228.2408,818.2219
5,1088.2556,1324.965,941.97363
6,1151.8575,1386.1892,973.21497
7,1122.1356,1355.9403,933.02203
8,1081.4746,1325.978,880.39386
9,1053.7925,1284.2559,822.5272
10,1009.4417,1205.0515,730.7405
11,928.4661,1088.1388,643.70123
12,836.2572,972.87415,568.2614
13,753.1961,864.29663,473.09857
14,652.58203,759.97614,417.65012
15,581.12317,675.30865,365.1128
16,523.6402,614.25995,334.95212
17,473.9631,557.5836,308.6493
18,452.31805,525.6414,276.96503
19,402.271,471.77588,285.47565
20,376.59723,438.61484,260.4356
21,359.0075,420.64426,249.64038
22,345.4562,398.87817,238.21481
23,341.54776,391.63632,214.38051
24,319.32248,368.08102,183.00941
25,336.7016,408.87576,208.52303
26,333.07602,408.1514,193.38982
27,319.50995,398.13217,171.31233
28,322.83795,399.481,168.91026
29,324.75085,403.0955,157.68819
30,317.0658,397.10898,144.20567
31,322.17328,398.74823,145.79858
32,319.3256,396.56763,158.00241
33,313.27448,392.58374,170.49681
34,300.9389,384.0844,157.76053
35,306.5311,388.61526,153.5938
36,307.55524,389.21744,155.25812
37,329.9215,423.8666,178.11217
38,342.08734,446.87012,190.71667
39,338.55017,445.0744,187.39413
40,339.32526,445.55457,188.80922
41,341.5394,447.1277,175.47258
42,340.03528,447.65662,174.79315
43,327.87558,440.58075,191.83197
44,321.56616,436.74487,186.58746
45,317.58374,434.26794,172.53973
46,324.46265,438.3754,166.47984
47,330.8491,443.6421,187.48267
48,328.11972,442.35837,176.67938
49,332.89108,444.49307,172.56128
50,336.96014,445.75253,176.56544
51,337.945,446.27985,176.01042
52,331.93253,443.45215,169.81201
53,327.4432,439.28275,165.17188
54,330.39804,440.29636,167.97757
55,335.43076,444.64337,146.51874
56,347.5413,451.7019,131.80927
57,339.65002,444.77356,109.81139
58,340.17517,445.0777,110.21999
59,335.22516,440.77734,88.79596
60,329.83078,439.44278,83.293976
61,302.02112,393.32962,55.385567
62,300.72763,393.01697,49.414566
63,320.4404,418.04395,20.73543
64,311.42447,409.9856,0.092549644
65,287.3672,383.55182,24.006212
66,297.4142,392.2832,5.288988
67,302.99066,397.85703,10.821967
