forecast_day,mae_original,rmse_original,bias_original
1,216.01936,295.33395,-95.06105
2,230.16048,313.9553,-110.88611
3,243.57976,329.65265,-122.95084
4,249.32466,337.20587,-137.32039
5,252.27167,344.3148,-151.52866
6,250.34029,346.9922,-166.10596
7,249.86479,346.83047,-176.79237
8,254.19318,353.83008,-188.65802
9,255.35371,354.78418,-193.88968
10,253.13481,349.74405,-191.66527
11,254.80682,352.74588,-194.71283
12,256.74265,354.2352,-194.90396
13,255.20595,353.54843,-191.61751
14,256.08243,354.36826,-192.35526
15,258.03763,354.6246,-190.76932
16,262.97153,356.0496,-190.91579
17,265.56577,355.98322,-186.55132
18,266.21017,354.8283,-185.7544
19,266.2152,353.91833,-180.6117
20,260.53427,348.32886,-174.5351
21,260.30997,347.87585,-173.29903
22,258.52985,346.5998,-168.53139
23,258.34964,345.9071,-159.50388
24,256.29092,342.18484,-155.65408
25,256.1605,341.46198,-151.22656
26,257.42966,341.22784,-151.65152
27,258.0238,340.90204,-151.4188
28,255.75053,339.41693,-152.11118
29,255.54752,338.64172,-153.4439
30,250.70926,333.02313,-148.22388
31,250.84564,332.1681,-146.68294
32,250.84892,331.58347,-145.58998
33,251.60794,331.79788,-149.19984
34,252.21149,331.6029,-147.66121
35,251.9987,331.1773,-148.06296
36,254.5664,332.41974,-150.55835
37,251.31946,328.29205,-147.05354
38,250.7434,327.79153,-146.33394
39,252.16801,328.4003,-148.86545
40,253.25897,328.81778,-147.46086
41,251.95781,327.6284,-151.66753
42,252.49783,327.68594,-149.74165
43,252.66287,327.59,-148.03766
44,249.43268,323.1635,-144.7732
45,247.1143,321.37015,-140.90182
46,245.33018,320.20572,-142.55853
47,247.96921,322.2438,-145.17172
48,249.33847,323.84622,-146.53139
49,250.04088,323.9841,-145.7564
50,254.4895,330.6636,-137.9827
51,255.02133,331.83112,-126.71686
52,259.61514,340.9004,-131.30515
53,260.87848,341.39066,-133.43777
54,261.16556,341.39624,-133.82631
55,259.3893,339.01505,-126.623245
56,258.68253,338.7482,-127.31068
57,261.60208,341.31543,-130.22913
58,264.75107,344.6462,-133.37671
59,266.44553,347.1805,-125.21637
60,269.3124,352.17667,-115.61244
61,270.27316,353.23907,-109.45602
62,270.13605,353.13095,-105.13259
63,274.18918,356.73767,-101.07428
64,276.04984,357.75674,-104.15906
65,277.2446,358.7782,-102.96097
66,280.10544,360.87692,-100.097626
67,282.63293,363.93268,-93.19674
68,284.7321,365.95096,-87.670456
69,288.5118,371.14645,-91.44983
70,287.6244,370.69086,-88.451324
71,288.44894,370.87457,-87.14921
72,290.68167,371.787,-84.91607
73,288.25864,370.09628,-80.83957
74,289.13556,370.30234,-81.71641
75,289.69803,370.38727,-82.59601
76,289.3582,370.27405,-82.93592
77,288.0869,369.6842,-80.23241
78,287.44635,369.55585,-79.59182
79,286.3834,369.27985,-78.52885
80,286.53964,369.3691,-75.20539
81,288.525,370.85925,-70.830734
82,287.1997,369.4682,-64.712326
83,284.94803,367.04776,-58.478302
84,281.85776,362.1197,-49.322548
85,282.89896,362.45078,-51.136646
86,291.1317,376.06796,-42.903866
87,290.83264,376.01355,-43.980892
88,293.12036,377.3138,-41.69316
89,293.78308,377.4383,-40.576935
90,295.55634,379.2367,-34.534588
