forecast_day,mae_original,rmse_original,bias_original
1,210.54411,275.46103,-37.99247
2,215.59518,279.59924,-41.799614
3,224.34503,285.28796,-42.11035
4,226.0476,284.72083,-42.59533
5,229.12679,288.51672,-46.087254
6,230.04869,289.54327,-55.085472
7,230.59169,290.96426,-64.27478
8,231.31786,293.38617,-74.501015
9,229.84282,292.47794,-77.906586
10,228.04106,289.909,-71.872475
11,230.35951,290.5668,-68.985794
12,231.11307,290.81033,-67.568
13,230.56598,291.17712,-67.06018
14,231.04337,291.8294,-70.92333
15,229.84717,290.48083,-68.74563
16,228.0164,289.11313,-69.0793
17,228.97614,289.11594,-66.31997
18,227.52168,287.6571,-65.99135
19,230.21472,289.8346,-62.530987
20,227.69121,286.9623,-60.69723
21,228.90218,288.9195,-63.807724
22,230.43427,290.7086,-59.685886
23,235.17786,298.64963,-51.527073
24,233.82945,297.44647,-48.959335
25,234.8234,298.57538,-43.767994
26,232.77083,297.36273,-44.321796
27,232.80777,297.35858,-45.504555
28,231.63736,295.95728,-45.23292
29,230.88907,294.14056,-41.145382
30,226.82666,288.49673,-30.952341
31,226.66637,287.00912,-25.932413
32,228.19556,287.80743,-22.346699
33,227.86961,287.85056,-24.771465
34,230.69455,289.96826,-21.995094
35,232.6428,291.54562,-23.083666
36,233.63016,293.01675,-28.481064
37,228.98419,288.15625,-26.306528
38,227.03004,286.30618,-23.81996
39,227.2106,285.7412,-23.359192
40,228.13556,286.24692,-21.48838
41,227.1131,285.3453,-26.109022
42,226.5444,284.66867,-23.389217
43,225.92122,284.05298,-19.126802
44,222.37558,279.8265,-15.566752
45,219.76933,278.61365,-14.164138
46,218.21883,278.15158,-16.41047
47,222.73126,282.88004,-19.219784
48,225.56703,287.4878,-20.684193
49,225.39732,287.4358,-19.601067
50,229.51128,294.62363,-10.734454
51,231.25111,297.70227,0.3041901
52,238.69604,313.9938,-5.7867436
53,242.17615,316.3026,-7.948887
54,243.67245,317.26166,-8.804245
55,240.19873,314.19376,-1.7028577
56,239.65706,313.8082,-2.2217941
57,242.67747,316.84546,-4.3906713
58,247.08272,321.4858,-8.0808325
59,247.47011,321.9412,-2.3596394
60,248.04611,322.65588,5.457273
61,248.17625,322.89502,8.738956
62,247.52983,323.64987,9.606951
63,250.6097,326.30365,7.8026705
64,253.47935,328.39618,-0.3239655
65,252.99715,327.89716,-0.79654676
66,252.46783,327.46143,2.6386685
67,253.05281,327.6025,11.324836
68,254.0313,328.08304,16.762257
69,260.85373,340.06256,11.367694
70,260.14124,339.41537,11.388196
71,259.98157,338.64264,12.378819
72,259.83368,338.168,15.464114
73,259.62198,338.02335,18.791885
74,262.01154,339.30014,17.354845
75,263.741,340.5695,13.7382555
76,263.34924,340.93607,8.492253
77,263.25583,341.44437,4.2353506
78,262.80768,341.17563,1.5740207
79,263.45456,341.2761,2.9214606
80,263.14697,341.04965,7.568187
81,263.37036,341.01373,13.421885
82,261.6642,339.49542,18.806852
83,259.05902,337.45575,23.130032
84,254.93651,331.4664,29.949903
85,255.12949,330.97644,28.887247
86,263.38153,347.93616,38.85805
87,262.80145,347.65115,38.175606
88,264.37823,348.32468,40.510513
89,264.75436,348.31247,40.204987
90,266.6068,350.36554,43.701015
