forecast_day,mae_original,rmse_original,bias_original
1,220.20738,290.7895,-42.10972
2,230.9649,303.45123,-52.579628
3,236.55394,310.4036,-55.524155
4,238.16023,311.15405,-58.126984
5,242.15129,316.41376,-60.15844
6,242.31601,315.01443,-63.27909
7,243.14133,314.19858,-64.27628
8,248.17725,320.13724,-68.43868
9,250.05862,319.90286,-67.88761
10,249.405,316.75073,-61.522198
11,252.98636,318.9897,-61.698067
12,255.82147,320.1486,-59.971054
13,255.54866,319.79697,-55.526176
14,255.31448,319.4623,-55.853714
15,256.60977,319.8432,-54.617393
16,258.89243,320.9891,-55.565872
17,259.3899,320.6068,-52.21309
18,259.3811,319.8759,-52.472324
19,260.86526,320.0356,-48.365208
20,256.55707,315.60992,-43.262028
21,257.50333,315.6413,-43.099762
22,256.77072,314.9775,-39.53585
23,257.3612,315.78937,-31.677868
24,255.00829,312.6272,-28.767706
25,256.25958,313.18863,-25.169815
26,256.60486,312.98853,-26.258501
27,256.67627,312.75714,-26.595657
28,254.69806,311.3471,-27.865791
29,253.66667,310.67325,-29.890804
30,249.13873,306.26904,-25.276875
31,249.8874,306.36523,-24.09404
32,250.4668,306.6835,-23.178469
33,250.03427,306.28958,-26.837727
34,251.3706,306.8459,-25.298647
35,250.65768,306.6216,-25.821451
36,252.40204,307.64233,-28.581327
37,249.16304,303.9729,-25.310411
38,248.49283,303.69287,-24.617434
39,248.63731,303.75232,-26.927572
40,250.34811,305.26584,-25.145554
41,247.8354,303.18304,-29.078417
42,249.56702,303.91006,-27.027412
43,250.64056,304.27847,-25.318033
44,247.28932,299.8251,-21.957558
45,245.90712,298.57925,-17.692652
46,244.85458,297.60373,-18.729254
47,246.77525,298.6951,-20.644735
48,247.50937,299.42282,-21.374002
49,248.75563,300.01205,-20.122736
50,253.96483,308.80197,-12.030798
51,255.07336,311.44827,-0.37713817
52,259.0055,319.1349,-4.3082156
53,259.2261,319.1915,-5.6110287
54,259.6888,319.2793,-5.1459503
55,259.17297,318.46494,2.784728
56,259.0066,318.36658,2.6186047
57,261.6042,320.45248,0.021291658
58,264.39062,323.33136,-2.7647228
59,266.76944,327.40613,6.0121675
60,270.65912,335.1486,16.3967
61,272.86514,338.03818,23.33972
62,273.97183,339.06656,28.294104
63,278.42288,344.03262,32.745148
64,279.6228,344.67737,29.831078
65,281.0218,346.03842,31.230143
66,284.3036,348.9094,34.511948
67,287.77917,353.59027,41.96159
68,291.03174,357.09933,47.999027
69,294.5201,361.33002,44.510582
70,294.50507,361.3222,47.469105
71,295.454,361.542,48.41807
72,297.30637,362.41516,50.270348
73,295.4136,361.1076,54.20603
74,295.8368,361.17035,53.36285
75,295.16013,361.06885,52.509922
76,294.62753,360.768,51.97723
77,294.39395,360.6778,54.170723
78,294.55255,360.69208,54.01209
79,294.29126,360.64355,54.273376
80,295.13623,361.05725,57.055367
81,298.23523,363.2407,61.073597
82,298.3296,363.33563,66.825165
83,297.5223,362.53836,72.46969
84,295.64807,359.82266,80.71108
85,295.8481,359.92947,77.684814
86,302.85458,372.40878,84.69125
87,301.66367,371.9916,82.63809
88,303.15698,373.18582,84.131424
89,303.47067,373.30792,84.445145
90,306.8893,376.21497,89.46375
