forecast_day,mae_original,rmse_original,bias_original
1,328.8834,402.28992,17.343513
2,331.2342,407.98492,2.28361
3,341.6745,408.36905,-3.0007663
4,323.70538,384.0624,13.25138
5,311.11563,376.4519,14.936855
6,295.8454,365.318,-7.5710044
7,299.96432,366.86722,-42.25523
8,301.68918,368.92444,-50.03286
9,294.33185,363.54556,-41.13874
10,294.7772,363.39386,-56.78992
11,295.71527,369.1109,-68.53704
12,301.15567,371.5448,-67.5703
13,299.77527,370.77396,-74.15914
14,281.99097,348.35052,-48.598118
15,276.10916,345.79327,-43.188293
16,280.40662,347.81015,-36.847637
17,289.0131,356.29712,-32.057552
18,286.62485,355.2533,-40.247208
19,277.74286,342.27457,-18.02831
20,274.1113,339.9672,-21.168722
21,290.48746,355.70764,-0.765113
22,287.0162,352.2785,19.743093
23,295.089,358.37183,25.597385
24,294.82245,357.40277,27.536154
25,308.74335,393.4557,81.79879
26,309.5299,392.19504,89.761925
27,309.83093,390.89935,97.841064
28,327.98184,404.64838,123.18684
29,325.3355,398.026,128.62886
30,320.3153,396.70782,125.18952
31,322.9232,397.874,141.42714
32,316.28656,392.02512,162.8185
33,307.12946,386.03247,176.91089
34,300.76947,382.11157,173.42131
35,302.28625,383.09488,175.19347
36,296.74603,380.8646,171.81009
37,317.24158,410.68002,190.775
38,337.022,443.56662,214.85837
39,340.98486,446.9465,223.75931
40,342.5629,448.99173,226.43536
41,341.50946,448.77563,220.99982
42,346.46664,450.84756,227.99397
43,340.10117,444.15158,244.80884
44,336.8228,441.12943,240.74672
45,333.40356,442.1284,237.53453
46,334.22766,443.25494,233.74571
47,342.13992,450.30774,249.59602
48,335.46494,448.04593,242.31868
49,340.20328,449.25958,243.06358
50,345.44064,450.2019,244.28114
51,348.1127,450.77927,240.25084
52,344.13785,450.87018,241.23772
53,338.7552,448.0669,238.72594
54,335.25574,445.71674,233.86618
55,339.78558,449.7077,214.5595
56,351.76923,456.6186,205.32704
57,340.24646,443.76114,179.87337
58,337.01993,441.16785,174.5431
59,337.47778,442.508,157.31622
60,332.6078,442.08307,151.54987
61,298.28857,390.72073,115.90077
62,296.9905,390.168,110.68674
63,313.38785,410.2873,81.67177
64,296.6866,391.15936,49.827866
65,278.88828,372.34763,64.9786
66,295.98743,390.08133,50.409294
67,300.65338,394.90305,57.111248
68,302.72992,395.23422,57.2524
69,304.96707,395.39648,49.08442
70,328.27405,427.47256,17.487997
71,329.98148,426.86383,10.680386
72,332.59973,427.4138,8.248633
73,323.4964,410.6442,-29.545938
74,308.2034,380.5578,-41.90448
75,318.599,393.95212,-68.818756
76,319.45114,394.97037,-101.19211
77,320.77786,394.73956,-103.55985
78,323.7528,396.61548,-102.674545
79,319.11096,394.604,-113.236084
80,321.541,397.65906,-129.61765
81,327.8524,400.72995,-120.305405
82,332.96548,404.4663,-125.46069
83,320.57776,392.77982,-144.44876
84,331.67786,398.7456,-154.76637
85,332.31702,397.86597,-156.17169
86,332.96616,398.46594,-174.22742
87,333.9506,398.97235,-173.53613
88,359.0431,431.6097,-204.15877
89,351.4985,428.3675,-214.68372
90,346.72726,427.292,-219.93552
91,349.87778,430.229,-222.41313
92,353.08414,432.95358,-225.58151
93,366.15143,445.80322,-238.43756
94,363.5328,444.88803,-247.81926
95,378.77908,466.94824,-212.6087
96,382.80655,468.30484,-209.19409
97,396.9698,478.94882,-194.35733
98,404.67004,482.52744,-176.55518
99,400.0754,475.98523,-130.65636
100,403.79813,477.5295,-115.326485
101,425.13104,498.41925,-88.355125
102,416.25012,489.9891,-64.28811
103,434.1685,515.39777,-108.45406
104,433.57367,514.9776,-125.68466
105,437.64478,517.0402,-127.013306
106,422.37796,495.19336,-109.7903
107,412.5601,490.5136,-99.49809
108,424.38303,499.11917,-112.8584
109,417.20193,492.95422,-94.181435
110,407.92957,487.32297,-114.88827
111,391.45352,474.1643,-92.11206
112,383.16663,466.31998,-79.44339
113,380.49744,464.99396,-66.69172
114,371.1733,459.81757,-74.09114
115,370.8732,459.6861,-74.86229
116,364.15906,456.60092,-71.809204
