forecast_day,mae_original,rmse_original,bias_original
1,285.71997,355.11673,-58.7579
2,294.48703,363.27975,-87.41747
3,305.9,373.49088,-118.300285
4,311.94748,379.90063,-141.57043
5,315.2967,381.5002,-148.18077
6,310.34116,375.70026,-141.58946
7,304.3516,369.79575,-129.36877
8,299.93924,365.39908,-123.63053
9,294.7564,361.55334,-114.708
10,283.57526,349.59436,-101.891685
11,280.86328,344.85406,-99.65789
12,279.784,343.29984,-101.771835
13,280.06543,344.76535,-107.77687
14,289.10767,353.47968,-127.2632
15,294.2587,359.87137,-145.70523
16,294.60596,360.33157,-149.5522
17,283.82077,348.52118,-123.64187
18,272.4623,335.51526,-87.21001
19,265.32285,329.1536,-55.79133
20,259.4552,322.58777,-44.93219
21,262.55823,324.93222,-59.44279
22,265.41666,327.31903,-78.396805
23,267.56943,330.613,-85.89516
24,262.89435,324.67047,-85.10685
25,260.40378,321.64673,-74.23255
26,259.9612,320.49774,-70.18832
27,263.1785,323.2295,-74.83492
28,265.9721,326.62933,-88.772316
29,267.72333,327.81012,-100.72745
30,262.0988,321.058,-92.45238
31,257.58505,317.62668,-78.02795
32,256.00006,315.12927,-66.67953
33,257.502,315.66568,-70.00975
34,259.7104,317.88528,-72.43939
35,261.44537,319.534,-74.85655
36,263.8865,320.1744,-77.689735
37,261.30753,317.67136,-74.96666
38,262.66495,319.8588,-79.74692
39,268.39938,323.68964,-90.52778
40,267.9607,323.35217,-93.949844
41,267.08646,322.5297,-92.6224
42,260.83774,318.54468,-73.73839
43,258.05823,314.98978,-51.30433
44,259.62906,314.7748,-39.30858
45,262.4537,318.38968,-51.575623
46,267.13818,325.17798,-86.85208
47,278.74817,339.58932,-121.86862
48,287.01318,349.46848,-135.32158
49,282.4019,345.58273,-121.18705
50,272.80307,338.65533,-83.36878
51,267.92166,333.98657,-42.111496
52,272.76886,343.69666,-32.119118
53,277.08612,346.3722,-34.749226
54,282.58017,350.9323,-40.99571
55,287.4763,357.48688,-34.472786
56,293.83826,365.39383,-33.63749
57,295.92148,364.4783,-41.039547
58,298.21948,364.41403,-59.489986
59,301.0971,367.10437,-72.809364
60,306.15637,372.59448,-77.77305
61,308.0964,375.63895,-73.35035
62,310.43848,379.01584,-63.23384
63,314.16553,380.70438,-57.10036
64,311.49744,376.16696,-65.40664
65,306.31497,372.705,-72.72392
66,306.56754,371.91577,-76.581154
67,308.55396,372.8222,-68.36641
68,307.17365,373.74567,-53.105274
69,314.4165,383.68796,-49.50164
70,315.9986,385.28146,-56.478176
71,318.3828,387.9788,-83.60449
72,326.6423,397.36374,-114.09156
73,332.4406,405.15225,-128.73328
74,338.032,407.8673,-121.80722
75,337.81482,405.859,-95.80363
76,334.83887,403.7906,-73.14549
77,333.9501,402.4233,-70.63244
78,335.08118,403.0008,-93.172
79,340.2577,411.55283,-123.06848
80,349.28433,421.58765,-143.04567
81,352.88742,424.70795,-144.20923
82,346.47858,419.88132,-128.5661
83,338.14163,412.76093,-108.905045
84,332.4148,403.33923,-91.3683
85,330.8793,399.16376,-89.85699
86,337.52164,411.47305,-79.49053
87,340.95477,414.0519,-79.949066
88,343.2811,415.76837,-80.21889
89,341.6525,417.8355,-87.75459
90,344.04132,421.30563,-96.41638
