forecast_day,mae_original,rmse_original,bias_original
1,224.06403,288.8147,-25.648169
2,233.98831,301.70554,-39.500786
3,240.20363,310.0029,-47.459976
4,242.0548,311.81436,-55.769154
5,246.13364,317.5562,-62.635353
6,246.24794,317.14212,-69.34081
7,247.79482,317.5258,-72.69727
8,252.87439,324.1051,-78.30843
9,254.84091,324.94666,-78.45008
10,252.92766,321.73154,-72.16494
11,256.34918,324.01862,-71.956116
12,258.7358,325.25632,-69.55375
13,258.0159,324.74207,-64.23228
14,257.65927,324.6827,-63.592133
15,258.73462,325.27664,-61.38361
16,261.24927,326.7447,-61.42089
17,262.33902,326.88412,-57.29035
18,262.70786,326.63745,-56.860073
19,263.94006,327.05423,-52.091213
20,259.40997,322.58643,-46.352108
21,260.04858,322.6585,-45.552948
22,259.14798,321.99854,-41.399536
23,259.4794,322.50992,-33.048576
24,257.11295,319.19235,-29.764141
25,258.0071,319.65485,-25.83475
26,258.86804,319.7548,-26.608591
27,259.39664,319.70557,-26.633505
28,257.78836,318.7078,-27.603647
29,257.2566,318.41254,-29.360182
30,252.67001,313.6557,-24.53399
31,253.6376,313.79678,-23.175713
32,254.42194,314.19894,-22.07214
33,254.58713,314.30957,-25.512146
34,256.18442,314.8297,-23.712887
35,255.69562,314.73703,-24.024641
36,258.10358,316.07346,-26.662086
37,254.91252,312.01718,-23.401155
38,254.3251,311.6819,-22.756685
39,255.45122,312.2332,-25.105354
40,257.13428,313.3514,-23.357191
41,255.58534,312.0856,-27.343777
42,256.40375,312.40555,-25.374556
43,256.59476,312.46408,-23.743027
44,253.30896,307.6191,-20.442694
45,251.02046,305.6377,-16.243595
46,249.90523,304.84274,-17.341887
47,251.88383,306.3205,-19.312561
48,252.69456,307.25076,-20.116932
49,253.84306,307.58258,-18.96091
50,258.2762,314.83597,-10.937929
51,258.6232,315.64862,0.67375845
52,262.59232,323.9288,-3.2925453
53,263.64786,324.20355,-4.619491
54,263.7851,324.21463,-4.189378
55,262.49014,322.2115,3.6866474
56,262.25552,322.10767,3.4537435
57,264.8858,324.551,0.8244504
58,267.65936,327.7554,-1.9483345
59,269.29117,330.52722,6.8559003
60,272.40408,336.69995,17.274054
61,273.84183,338.58395,24.241844
62,274.2217,338.93713,29.200928
63,278.6643,343.3366,33.64391
64,280.5109,344.32043,30.759304
65,281.99072,345.58188,32.239258
66,285.3641,348.09003,35.612835
67,288.07184,351.7934,43.15029
68,290.55673,354.52094,49.25492
69,294.00757,359.18228,45.80408
70,293.31464,358.81805,48.776184
71,294.00848,358.93814,49.754475
72,295.9099,359.63483,51.655952
73,293.3725,357.85583,55.616936
74,294.23657,358.0193,54.752934
75,294.15265,358.00534,53.813828
76,293.46423,357.67487,53.125397
77,292.82748,357.45157,55.10044
78,293.2183,357.5087,54.709686
79,293.18307,357.5003,54.744865
80,293.7077,357.73636,57.278767
81,296.47388,359.56686,61.016243
82,296.26392,359.3654,66.44496
83,295.22174,358.39343,71.7162
84,293.19485,355.57214,79.54127
85,293.4785,355.74625,76.1031
86,300.09836,367.5905,82.72302
87,299.0426,367.14517,80.282486
88,300.13724,368.00058,81.377106
89,300.02957,367.96103,81.26942
90,303.34122,370.56012,85.833305
