forecast_day,mae_original,rmse_original,bias_original
1,411.37253,503.72153,-10.348016
2,613.83716,736.3764,299.6132
3,858.26575,1008.8395,585.7479
4,1009.61566,1198.3339,827.88776
5,1111.4814,1312.4286,995.59515
6,1182.5027,1396.1162,1082.9592
7,1228.2938,1442.2507,1109.642
8,1254.0392,1478.7594,1130.094
9,1254.7728,1492.2561,1138.7587
10,1225.2098,1460.847,1095.0812
11,1196.9395,1402.4359,1041.7657
12,1143.8131,1342.5393,1000.55316
13,1083.0493,1270.5938,944.023
14,997.54114,1189.3867,907.5877
15,944.50586,1110.6013,853.08044
16,919.29034,1058.697,814.2664
17,882.7266,1008.9362,781.8907
18,823.2519,943.54584,744.8576
19,776.52924,889.55817,738.88696
20,738.7282,835.7485,690.1731
21,697.9692,795.0966,652.54663
22,658.1071,742.46216,612.03577
23,604.12427,685.1206,558.09344
24,533.2109,608.1282,493.23883
25,525.96655,604.54663,480.8849
26,481.09647,561.44275,434.44092
27,442.27792,521.92596,386.18796
28,421.336,501.30438,355.84674
29,403.67526,485.0501,316.03632
30,375.77664,458.7903,275.0191
31,367.52194,449.75977,252.69016
32,362.00156,444.66736,241.96617
33,348.90536,437.73544,240.69775
34,331.71057,424.0852,219.82759
35,338.34808,427.7397,204.52252
36,342.85428,428.93204,195.14241
37,359.73984,455.85117,211.3702
38,371.051,476.37958,223.27438
39,365.53503,473.41296,218.44427
40,369.509,476.26218,223.4719
41,377.59207,482.6357,215.96307
42,376.34497,485.20502,216.6
43,375.2625,487.35013,232.21764
44,367.76868,486.70892,228.76726
45,361.65204,489.16043,225.17361
46,373.08643,498.3079,227.23743
47,382.0918,507.67993,257.8744
48,383.34204,511.01468,256.57132
49,391.74646,515.2711,256.2572
50,394.88852,517.1503,262.78473
51,394.1695,517.8619,269.26047
52,398.7075,521.0862,275.90897
53,397.35776,519.8529,275.85074
54,403.34674,522.7143,282.81723
55,406.52496,525.14844,266.02448
56,416.31235,531.0008,251.01004
57,410.28647,526.42883,227.39215
58,412.92657,527.85156,230.62733
59,399.6386,520.336,214.41934
60,388.31326,513.18506,203.38382
61,354.5449,455.2999,169.7408
62,345.20697,451.59995,159.67038
63,357.30432,468.85416,123.14282
64,344.6504,454.2801,93.27005
65,324.97314,437.8671,112.52535
66,323.71347,436.8797,92.604546
67,320.12015,432.05096,88.95876
68,318.45868,430.40872,87.07682
69,314.71436,428.0864,72.385826
70,336.4489,461.85272,33.79698
71,346.3911,470.56863,23.685661
72,350.56967,471.54138,19.257683
73,331.64127,436.64645,-27.52767
74,305.759,383.16974,-53.40228
75,319.88596,401.46866,-81.74609
76,324.81332,408.27197,-112.95804
77,325.11853,408.4503,-113.3429
78,331.28113,410.50848,-107.31213
79,331.25034,410.49597,-107.347855
80,337.89148,413.5297,-117.94842
81,342.55466,414.4564,-113.3468
82,345.2154,416.632,-116.09781
83,334.32373,408.6252,-133.05331
84,343.79016,414.63693,-142.55695
85,341.10696,413.05804,-139.89418
86,344.51086,414.2783,-148.0696
87,340.92105,413.41373,-144.52605
88,357.45047,439.38284,-181.81436
89,349.2921,433.17923,-190.03221
90,347.11563,432.00507,-192.26653
91,345.63416,430.82877,-190.80411
92,342.47034,427.87466,-187.64825
93,344.55103,429.6504,-189.74025
94,339.7681,427.2086,-194.5686
95,366.61267,459.7198,-164.76082
96,372.47522,462.70648,-158.93718
97,390.43933,483.74078,-141.00635
98,408.0385,495.4391,-122.94868
99,407.28226,494.12164,-75.4189
100,414.93646,500.93362,-50.826473
101,444.29532,532.1169,-20.357706
102,444.5959,532.3087,-1.6374545
103,455.31165,546.89136,-42.45079
104,447.90042,543.4042,-56.71205
105,449.7536,544.1684,-58.56589
106,431.78424,518.534,-40.597145
107,417.34146,509.30423,-22.355259
108,426.36252,515.5807,-31.377136
109,416.37228,509.34695,-13.613508
110,410.27298,506.01147,-29.042904
111,391.53812,490.0187,-5.4260764
112,386.23785,484.0039,-0.12743801
113,380.50223,482.05588,5.606798
114,374.64136,480.32007,-0.25473702
115,377.53986,481.2197,-3.154602
116,379.89188,482.92966,-5.507975
117,375.20752,482.1034,-10.192308
118,369.89648,478.8608,-4.8820734
119,379.6998,484.6301,-14.686015
120,373.1622,480.39252,-8.148919
121,368.63345,479.31107,-1.7846375
122,363.1096,478.0774,3.7388883
123,365.14648,478.38312,1.7018094
124,338.5092,450.39688,28.339054
125,341.38443,451.90515,15.190864
126,347.22842,455.80005,-1.6136136
127,344.55524,454.2072,1.0595499
128,335.47726,450.5644,11.144755
129,325.48422,445.6441,23.402235
130,322.1559,445.095,20.073917
131,307.7289,419.7271,5.646844
132,304.3705,417.48975,-9.846653
133,283.31693,391.55762,-37.527634
134,271.0516,378.13397,-60.927124
135,260.1245,359.00162,-71.854164
136,262.62683,363.33618,-69.3519
137,235.53952,316.35318,-96.43921
138,230.81776,312.48676,-101.16105
139,207.24066,271.9109,-73.22374
140,209.45193,273.23242,-75.435005
141,214.70361,279.91324,-80.686646
142,205.34097,270.8748,-65.916695
143,211.4322,274.84924,-59.825474
144,203.07047,263.40576,-39.363594
145,202.14001,262.97018,-46.208275
146,204.75258,265.09674,-48.820835
147,206.34686,265.79712,-55.299294
148,195.343,254.83963,-44.295383
149,206.20763,265.54425,-30.053213
150,213.82071,270.48782,-22.44022
151,212.10161,269.4016,-12.96446
152,215.34389,274.77875,12.104669
153,223.65523,279.28867,20.416039
154,233.29764,291.82578,41.042908
155,228.05762,285.18423,61.35797
156,236.14928,294.69315,80.286995
157,248.78693,305.66153,92.92465
158,262.73953,317.2469,78.972015
159,264.3242,317.93042,86.582466
160,264.6671,317.9462,86.23962
161,269.03268,322.94598,81.87407
162,258.4907,315.75244,93.980446
163,254.81209,313.9205,97.659004
164,260.70978,316.24692,103.55668
165,261.49753,316.38373,104.34445
166,263.10657,316.6,105.95344
167,252.54723,306.06638,88.699265
168,266.0468,325.78323,75.19968
169,269.76813,327.90408,71.47839
170,270.50613,328.38474,70.74034
171,264.66858,322.2194,51.65321
172,259.90674,313.45554,19.155867
173,260.15054,313.53815,13.251384
174,255.38358,312.21774,8.484419
175,256.49487,312.5681,3.0128987
176,254.39787,311.4595,12.176978
177,246.71861,303.76706,29.296017
178,255.86314,311.55246,14.744151
179,250.69792,308.30753,9.578959
180,248.90315,307.2258,7.78422
181,251.46677,308.4965,16.262037
182,246.94244,305.83777,20.786354
183,244.53474,305.034,23.194057
184,243.99055,304.94235,26.047176
185,242.90587,303.40036,2.0250075
186,236.63596,299.2762,-8.986806
187,236.40001,299.16946,-9.222737
188,224.94562,287.3173,-20.677145
189,224.36444,286.7312,-21.258324
190,213.58463,273.22415,-40.747746
191,206.7873,269.4918,-49.025593
192,205.69391,267.5916,-74.952866
