forecast_day,mae_original,rmse_original,bias_original
1,310.26993,379.79153,-140.32834
2,306.23816,376.37518,-142.09499
3,301.1673,371.03296,-138.17177
4,294.70398,362.74573,-129.86588
5,292.4703,359.24252,-112.96534
6,286.5745,352.11563,-93.21959
7,281.01068,347.13126,-76.07088
8,275.72928,342.81024,-75.36109
9,273.92505,340.45868,-90.03418
10,273.45065,340.12985,-112.37086
11,279.17358,346.04376,-131.81792
12,281.34497,347.29272,-126.89789
13,275.12485,341.4617,-104.49925
14,272.24863,337.70844,-90.00371
15,270.25394,336.14056,-90.0197
16,275.61496,340.54184,-111.038826
17,282.2537,347.68146,-132.87921
18,287.08743,350.56027,-138.70837
19,279.37457,342.47656,-110.7632
20,264.99545,327.43323,-68.252495
21,260.48187,323.29703,-42.840553
22,258.23575,322.0305,-35.580803
23,259.64978,323.1323,-39.213478
24,258.8208,321.09784,-52.846333
25,259.77826,321.5537,-59.57767
26,261.13077,321.59842,-59.712563
27,260.43994,320.97873,-55.83281
28,259.31003,319.38712,-59.3873
29,259.88248,320.089,-65.503586
30,256.07635,315.91428,-59.547855
31,256.2737,316.10834,-53.378166
32,257.57977,316.673,-50.85217
33,261.26608,319.15643,-64.12238
34,263.7659,323.31705,-82.827545
35,267.78134,327.07303,-99.12604
36,267.26,325.50897,-95.53985
37,255.77516,313.69815,-59.94259
38,250.6812,309.4557,-13.9918585
39,250.26903,312.51694,22.872063
40,255.3711,317.01114,41.619312
41,255.67406,316.76645,25.724522
42,253.11545,313.33224,-6.360535
43,254.12889,313.0633,-39.609196
44,253.29958,309.261,-55.546192
45,252.24397,308.8599,-56.507977
46,252.99963,310.19315,-60.4527
47,261.25708,320.4765,-73.1194
48,267.74844,331.1081,-89.73276
49,268.5729,331.8971,-98.129486
50,269.19922,333.85156,-82.511345
51,264.51825,329.9637,-50.662933
52,266.46198,337.92227,-38.608746
53,268.57504,338.418,-38.217377
54,271.99768,341.09265,-43.604034
55,268.47678,337.35495,-35.18217
56,267.59033,336.18018,-31.715916
57,272.17404,339.49524,-35.89263
58,280.06967,346.95602,-52.603683
59,288.0722,355.14313,-69.792786
60,296.26807,365.35883,-85.776695
61,298.22443,368.08063,-86.20553
62,291.8444,361.65378,-58.601254
63,290.7286,359.4424,-16.808954
64,293.24612,361.19202,7.6455817
65,295.4624,362.4806,12.283753
66,296.80313,363.22885,-2.8217351
67,299.1503,367.2516,-26.010277
68,302.4289,370.8164,-45.07692
69,307.28568,377.26495,-52.40305
70,306.58676,376.46875,-36.538826
71,311.55002,379.56607,-21.684055
72,318.03848,384.06082,-19.051174
73,317.9178,385.10193,-30.976274
74,320.36078,388.79813,-55.21626
75,323.7523,392.2428,-72.27275
76,324.34558,392.57593,-76.64648
77,325.9189,394.33997,-74.15566
78,330.56174,399.03122,-77.03964
79,334.85385,402.23593,-80.05561
80,334.37155,400.4638,-69.70844
81,330.0634,396.31097,-43.772514
82,325.14493,392.7638,-10.233947
83,322.9667,391.83368,20.211874
84,322.5403,392.44086,39.5983
85,322.89792,394.0211,27.735209
86,330.02597,405.254,14.380991
87,326.5779,401.48337,-0.83136225
88,326.7193,401.41754,-2.0932367
89,328.724,404.96173,-8.13259
90,336.37723,411.82242,-21.708323
