forecast_day,mae_original,rmse_original,bias_original
1,362.109,458.2801,-191.72382
2,370.4646,457.1897,-109.15613
3,389.3789,473.13828,-7.8742847
4,393.2359,479.59906,124.799644
5,416.1753,500.63596,230.58214
6,455.48068,542.98145,277.71634
7,459.14676,560.8259,292.08524
8,480.0847,593.1271,327.6776
9,497.35486,613.3339,368.98752
10,513.9198,612.7523,370.48743
11,505.37878,595.0839,373.47083
12,515.0094,594.53625,391.24426
13,515.8044,586.57935,385.90445
14,495.31934,564.3761,401.0276
15,477.583,544.18823,392.70563
16,474.50607,537.9914,384.36197
17,462.28088,530.93146,367.19568
18,444.74225,509.94812,339.5821
19,431.56744,495.72687,343.72943
20,409.73166,473.12268,312.70273
21,410.00125,474.4155,304.56195
22,401.7405,464.8752,304.30356
23,397.97888,461.1263,292.60217
24,384.06567,445.80258,271.50354
25,403.96817,491.60358,305.51898
26,401.69104,486.4331,296.4869
27,391.2432,475.52237,279.68204
28,399.84027,481.87692,283.26556
29,393.75943,473.23077,277.37592
30,385.9252,465.42676,265.96646
31,390.04913,465.58408,267.209
32,390.00598,464.09595,279.39658
33,388.9373,462.61597,290.20963
34,374.4513,450.4332,274.91135
35,377.08743,451.4341,268.7201
36,374.36725,450.19406,268.91608
37,395.53027,483.28357,289.661
38,407.21707,506.2183,301.03137
39,405.54846,504.96133,299.078
40,407.28406,507.15396,300.5295
41,402.16995,504.55136,286.63516
42,402.30286,504.44733,286.50092
43,394.8327,499.10428,305.82474
44,392.81116,497.40894,303.74734
45,382.2602,493.2131,292.7762
46,384.81067,493.8824,289.93793
47,399.1453,504.8859,311.18658
48,389.80972,500.94672,299.39172
49,393.94757,501.65924,294.93747
50,398.91632,503.70038,299.84943
51,398.9491,503.6208,299.55093
52,391.6771,499.32562,292.17758
53,386.9839,494.70578,287.4246
54,387.7107,495.02048,288.0785
55,387.0695,494.41196,263.18527
56,394.89474,499.17636,246.07097
57,382.34555,488.5681,222.81425
58,380.82825,487.3987,221.20622
59,373.31857,480.59845,196.79297
60,366.38318,478.2391,189.79376
61,335.42236,424.78375,158.76007
62,329.36487,422.10568,148.34601
63,345.65674,443.67148,116.42892
64,332.89877,431.85303,93.85001
65,312.4738,413.2879,115.11469
66,321.49966,421.76804,93.24163
67,325.5161,425.6744,97.21198
68,328.54858,428.2768,100.20614
69,327.41,427.6344,87.077286
70,353.70822,463.34512,53.435852
71,356.98947,466.27036,50.1253
72,358.46768,466.533,48.624382
73,343.88074,439.27463,1.5879178
74,325.1519,402.5598,-17.151615
75,332.29535,410.85727,-43.413162
76,330.80865,408.62833,-77.52684
77,332.26062,409.272,-78.98476
78,338.43002,413.62582,-72.822235
79,333.18057,412.06015,-78.07795
80,331.18982,410.47852,-96.22547
81,340.97598,414.86377,-85.95435
82,340.6113,414.70474,-85.5899
83,323.61588,400.6298,-104.34665
84,332.8901,405.51303,-113.62521
85,330.16962,404.65802,-110.88132
86,327.34555,402.90222,-124.8253
87,330.0202,403.67783,-127.48432
88,352.37006,433.854,-158.79144
89,347.1824,430.11154,-163.91089
90,343.54422,428.30588,-167.48676
91,341.11716,426.1185,-165.06111
92,336.67914,422.25296,-160.62328
93,343.52478,427.31717,-167.43256
94,335.0781,423.65967,-177.55309
95,354.57993,452.84256,-141.07907
96,363.5049,456.70975,-132.08032
97,379.9232,475.02628,-115.58652
98,394.41232,485.28604,-96.68693
99,394.89676,486.24142,-47.900894
100,404.85547,493.47095,-28.047983
101,430.25385,517.2771,-2.5691986
102,424.28766,512.0776,22.374418
103,435.90833,527.61694,-16.239355
104,429.34753,523.81665,-33.19028
105,431.52484,524.88214,-35.38608
106,412.27017,497.30804,-16.150133
107,399.80115,490.9768,-2.2548456
108,414.90375,502.56186,-17.3321
109,402.91858,493.70667,3.0283983
110,393.26752,487.5452,-14.424005
111,377.3682,477.19516,3.0124953
112,374.516,473.99988,5.849738
113,368.7946,472.73688,11.5573225
114,357.75974,467.9679,0.55545723
115,365.92908,471.0454,-9.230828
116,368.25226,472.68753,-11.5576105
117,359.0281,468.81754,-20.732178
118,361.26828,469.8367,-22.978655
119,373.68225,476.42084,-35.389744
120,366.70483,472.7135,-28.395647
121,364.97012,472.54678,-25.939213
122,362.83243,471.83142,-23.788927
123,360.7305,471.30252,-21.684635
124,334.60876,443.06628,5.7748785
125,338.0845,445.28973,-10.000621
126,345.29407,449.81256,-25.592167
127,339.51453,446.64566,-19.810472
128,331.6588,444.01212,-11.511891
129,321.68152,438.13577,-1.5336677
130,321.35104,438.11627,-0.11785211
131,307.61414,413.61078,-13.854679
132,305.7046,412.1111,-31.868113
133,286.0623,389.4992,-57.50142
134,272.84958,376.96924,-77.69207
135,259.5714,353.4103,-90.970314
136,259.35364,353.0822,-91.18799
137,236.24338,317.5673,-114.29825
138,231.80116,313.89517,-118.74045
139,207.00201,275.3336,-93.289795
140,206.88458,275.25473,-93.17236
141,208.72017,277.43048,-95.007935
142,199.92941,270.10184,-82.328354
143,203.52126,271.29922,-78.73657
144,191.50185,251.20204,-54.46836
145,190.02061,250.4724,-61.332478
146,195.02338,255.00012,-66.33524
147,197.35696,255.63745,-70.20932
148,185.01546,242.6376,-55.63002
149,197.22717,253.57205,-43.28808
150,202.29181,255.48766,-38.223423
151,197.38164,250.92575,-25.154219
152,201.43587,258.0427,-0.33585274
153,207.5996,261.4375,5.8278503
154,216.88014,276.06073,29.353577
155,214.41814,272.1892,53.301777
156,224.60715,283.52008,70.46809
157,234.68394,290.33374,80.54488
158,245.66354,302.0787,69.56526
159,247.79495,302.92914,76.27078
160,248.51324,303.01718,74.207664
161,249.62273,304.3564,73.0982
162,242.28638,297.57092,88.562935
163,240.74902,296.98135,90.100334
164,243.8865,297.6611,93.23784
165,243.4184,297.54825,97.22405
166,244.4942,297.68884,98.29977
167,234.10062,286.1035,80.223854
168,243.9136,301.68002,70.410835
169,244.71625,302.0052,69.608154
170,246.83328,303.15063,67.49109
171,244.39038,300.1952,47.215786
172,243.54565,298.74805,18.7118
173,244.28404,299.02628,12.455061
174,239.39667,297.5013,7.2848477
175,240.47987,297.61496,5.5500693
176,242.24574,298.88513,17.468248
177,237.88748,294.74234,33.142708
178,249.69276,305.84784,17.448544
179,247.97942,305.1521,15.735212
180,245.80388,303.85666,13.559651
181,248.74568,305.30392,21.884392
182,240.63528,300.67853,29.994808
183,239.2401,300.2763,34.80731
184,240.3514,300.49933,35.918556
185,241.21648,301.81366,10.499821
186,239.03757,300.74173,2.2656012
187,238.43195,300.4678,1.6599969
188,227.10341,288.31573,-9.668538
189,229.8039,291.13638,-6.968023
190,214.69319,274.10632,-24.663597
191,204.123,266.42154,-35.2338
192,204.60077,267.31845,-63.066887
193,201.76259,263.85272,-81.08397
194,197.85349,257.18866,-56.410538
195,195.2445,256.04892,-62.638496
196,201.88239,260.40723,-69.27633
197,192.43056,252.42957,-57.25272
198,191.93407,252.15923,-64.884605
199,204.97968,268.26007,-77.930214
200,209.19704,271.33636,-88.86362
201,210.20221,271.63782,-87.85844
202,208.86789,271.46954,-89.19275
203,221.14993,287.26825,-101.4748
204,208.23541,268.17096,-78.65939
205,205.65965,267.30154,-76.08363
206,201.40923,265.30142,-71.83321
207,201.36874,265.25256,-71.792725
208,198.369,260.1844,-68.79299
209,204.02617,265.0899,-74.45014
210,212.09299,269.62463,-82.51696
211,212.62993,269.74484,-79.162056
212,209.89581,267.73962,-81.89618
213,213.82355,271.7351,-77.96845
214,204.88605,260.51422,-59.406494
215,208.92007,263.0695,-68.61908
216,210.90729,264.41016,-78.504005
217,212.82558,266.1264,-91.68886
218,218.25276,268.65335,-97.116005
219,218.1721,268.6353,-97.196686
220,220.07713,269.44662,-95.29164
221,215.15779,262.33167,-90.3723
222,213.04549,261.75955,-86.4293
223,211.00542,261.07016,-88.46937
224,212.65314,261.96194,-86.82165
225,208.45403,257.50568,-102.13496
226,207.46022,257.3951,-101.14114
227,207.92595,257.42154,-101.95269
228,196.19765,243.44278,-90.22442
229,190.93076,239.55164,-84.95756
230,192.45055,242.08305,-107.241684
231,204.342,255.42926,-119.13311
232,215.86998,276.93347,-130.6611
233,219.3271,278.28488,-127.203995
234,222.35727,280.27026,-117.0384
235,212.80882,266.86386,-95.6996
236,209.64809,264.29532,-83.70956
237,208.10442,263.87604,-85.25325
238,213.16266,265.8103,-90.87967
239,204.63753,251.74377,-82.354546
240,205.89894,252.74855,-93.51686
241,206.95204,253.01073,-90.01901
242,209.5258,253.97664,-92.592766
243,201.96315,248.45566,-82.404106
244,193.21788,240.13399,-73.65885
245,184.29474,233.77155,-64.73574
246,185.178,234.94513,-47.43602
247,194.01697,243.41365,-38.59703
248,202.04912,252.88022,-30.564907
249,204.24208,256.19345,-28.371912
250,209.85692,262.13635,-22.757082
251,210.37552,262.62604,-8.991893
252,212.97015,265.18625,5.474908
253,214.89117,267.39682,22.499075
254,220.29474,273.77628,40.246452
255,231.96132,284.99274,51.91303
256,240.8089,294.40308,60.76062
257,243.68816,297.78552,80.08503
258,252.13593,302.98862,88.53284
259,259.53998,307.47357,95.93686
260,264.67807,311.84875,101.07493
261,270.89474,318.00674,118.405815
262,283.8057,327.72977,131.91399
263,284.10156,327.75534,131.61806
264,286.4364,328.6759,129.2832
265,290.0206,330.28723,125.69908
266,280.78204,322.87057,140.26447
267,271.5429,313.37573,158.42722
268,258.7567,293.4041,184.7542
269,268.34564,304.41852,194.34308
270,262.8285,301.90317,188.8259
271,263.48495,302.38998,189.48236
272,265.0537,303.35938,191.05116
273,265.62564,303.46164,188.038
274,265.52313,303.39728,198.62018
275,285.422,342.33115,178.72128
276,288.02438,344.3811,176.11893
277,300.85168,355.8417,158.74069
278,309.0262,362.41092,150.56618
279,318.12988,367.67633,138.83643
280,333.41852,381.96246,123.54785
281,343.5516,386.98935,113.414764
282,340.1085,384.6215,98.67491
283,342.70703,387.54953,74.5065
284,331.56656,380.69006,61.3669
285,325.02896,375.39206,44.34697
286,322.4461,373.1223,26.075731
287,319.69574,371.58893,14.542271
288,312.20557,368.09982,4.9710455
289,302.86548,363.68643,-4.3690186
290,291.6297,356.99896,-16.28415
291,282.4805,348.86108,-33.724136
292,278.3757,344.2,-37.828934
293,270.4393,338.22668,-52.09616
294,269.23334,337.10037,-53.302128
295,260.79303,332.9121,-62.537582
296,252.30672,327.68585,-73.83838
297,248.42355,323.4641,-77.72152
298,252.10948,329.58127,-74.03557
299,257.09055,331.4395,-79.0166
300,260.14758,333.5218,-66.43553
301,258.635,332.6798,-64.922905
302,257.51547,332.42484,-69.13016
303,257.90994,332.6238,-68.73568
