forecast_day,mae_original,rmse_original,bias_original
1,347.39954,392.82272,80.437256
2,358.94208,403.43677,103.108734
3,371.92026,413.67444,123.69827
4,365.08124,404.5172,149.0621
5,348.1646,387.09103,155.64798
6,340.97342,379.27283,145.80214
7,351.09998,387.76895,143.73741
8,369.52136,407.21466,184.0289
9,380.67154,419.80035,228.7449
10,370.72366,413.5014,209.21843
11,353.5856,393.61078,158.67155
12,333.53705,371.65726,109.55256
13,323.26425,363.62045,67.57601
14,313.66183,357.0636,77.80856
15,315.55118,357.63873,81.843636
16,311.46188,353.74225,83.33479
17,308.0805,350.2521,68.016685
18,290.4919,335.46686,44.141083
19,282.58054,325.44254,75.3533
20,278.05548,324.4365,92.02007
21,297.84628,346.32346,123.14137
22,302.59305,349.61728,137.48866
23,290.45084,337.6179,121.02365
24,275.52438,327.3012,92.04271
25,288.88266,358.93552,123.69493
26,286.18567,359.3212,126.76964
27,285.0044,363.3078,138.3217
28,304.1569,382.05948,164.51842
29,303.60626,384.64163,151.96771
30,285.6865,369.37634,111.97154
31,282.00787,364.97324,91.91758
32,271.99875,358.39154,97.5677
33,268.88464,358.4507,118.724525
34,268.02762,361.1908,124.948906
35,280.60205,375.36234,130.94382
36,283.4737,377.69562,128.96686
37,299.3063,397.16797,150.44164
38,315.65555,420.80316,182.35187
39,326.7074,432.35916,213.1317
40,344.0522,446.4893,245.824
41,345.32556,451.0853,246.93231
42,336.10287,443.5116,229.79063
43,317.76147,429.13226,213.38513
44,298.66107,410.74948,181.3168
45,286.69373,401.5316,159.94284
46,289.23758,401.05115,147.83122
47,292.88074,401.71402,149.8869
48,280.50055,390.57684,115.44031
49,279.22678,387.74615,93.20163
50,286.23682,393.16122,100.45058
51,297.39008,401.5009,127.53635
52,303.57114,412.0513,164.07129
53,309.43216,420.25146,191.28265
54,310.54083,421.44522,195.09921
55,306.50067,415.52222,154.4834
56,308.6314,412.8468,117.09673
57,295.36914,400.52505,82.19226
58,296.01273,401.09094,83.84559
59,302.04938,407.59402,77.40794
60,301.58566,410.17606,82.029686
61,271.39484,361.74008,46.90169
62,274.57117,361.01035,32.994408
63,293.37894,386.7805,6.42394
64,279.5294,375.62283,-2.05621
65,252.96956,344.89902,35.896744
66,270.40002,362.95993,28.013357
67,280.15576,368.91486,29.811075
68,289.50842,370.34976,17.042437
69,298.912,373.965,-1.750451
70,325.01297,412.9445,-22.081146
71,320.84528,408.51627,-1.7878824
72,316.61493,406.1527,10.000017
73,312.6549,394.5916,-43.73415
74,305.88757,379.22873,-86.34097
75,323.74997,397.5042,-130.39096
76,328.21252,401.85098,-152.6759
77,318.95172,393.51883,-122.14068
78,317.86057,390.67728,-90.88356
79,310.19266,386.32794,-94.081375
80,315.33176,391.2232,-120.895294
81,324.9451,398.99188,-116.92209
82,317.39438,393.2865,-108.34084
83,299.7061,378.1904,-98.24802
84,298.6733,376.25568,-72.95243
85,296.8202,372.3939,-51.50302
86,289.54352,369.6607,-71.30111
87,295.9917,374.79666,-86.06863
88,313.09537,391.043,-122.26934
89,317.64902,395.41174,-128.12772
90,328.29303,404.82175,-131.27434
91,324.9002,406.21957,-137.58968
92,322.4503,407.5622,-152.96461
93,332.99048,418.4512,-173.79861
94,332.09164,416.62985,-164.52142
95,345.83408,455.31683,-77.73053
96,345.81995,455.88644,-13.549747
97,367.24023,487.362,42.031555
98,391.1328,508.8625,66.51761
99,399.8224,520.33167,96.78263
100,416.8043,529.6121,96.90988
101,448.33426,564.22125,122.43054
102,447.79105,564.0077,159.94649
103,456.5861,573.86475,128.28557
104,450.8166,569.9769,104.91631
105,448.78113,564.9954,79.58321
106,427.33322,534.0301,75.18648
107,416.39954,528.0224,83.36282
108,422.7273,533.72766,87.42744
109,417.35315,530.85474,130.60309
110,405.95367,526.2119,120.54541
111,389.43668,512.4979,133.76091
112,384.71414,505.0458,127.4974
113,379.78577,502.38876,129.35349
114,369.7388,499.3505,123.57256
115,373.8604,501.04254,129.78598
116,374.9237,502.96393,136.7127
117,363.42856,495.66193,116.363106
118,362.43295,492.22568,95.25519
119,374.98776,496.37448,71.97373
120,370.3872,496.13828,87.07174
121,369.28455,499.75812,107.32829
