forecast_day,mae_original,rmse_original,bias_original
1,358.51233,417.9105,58.145996
2,349.4937,420.69504,48.89394
3,358.01282,421.47266,35.705357
4,343.93924,401.23425,55.436356
5,331.06473,391.24252,69.42016
6,324.0182,386.01312,47.997967
7,324.77515,385.5908,8.377116
8,327.32343,388.65625,3.2448833
9,322.0099,382.35022,18.669851
10,319.6559,379.56625,11.583714
11,316.96075,380.30585,14.580143
12,322.35248,382.55722,29.278175
13,323.8454,382.9045,27.887804
14,306.79123,358.64896,53.990334
15,301.5145,355.5262,62.667038
16,309.5734,359.07956,71.43883
17,318.928,370.033,78.43417
18,317.28497,368.23065,75.92665
19,310.48376,358.09473,103.28165
20,305.4543,354.01743,97.59807
21,321.11603,373.78857,112.683685
22,321.1737,374.224,130.89627
23,324.44583,376.80246,133.19281
24,320.06628,374.81274,129.8659
25,337.04156,410.99744,177.77344
26,337.5055,411.10425,178.67035
27,337.00308,411.14526,178.16919
28,357.90076,431.3737,198.68275
29,353.72546,422.30005,204.72661
30,350.00208,421.465,200.13704
31,355.29584,424.588,212.69623
32,347.57227,419.10892,229.86111
33,335.95474,412.50238,238.13959
34,321.22076,402.11334,222.81166
35,310.745,394.60306,210.58392
36,295.70575,386.16104,197.91658
37,307.55377,406.2154,204.1182
38,317.06845,423.43607,212.5539
39,317.2814,426.13977,215.11687
40,321.19052,428.74664,221.38585
41,320.8199,429.77164,212.39107
42,323.46848,431.28903,215.80548
43,324.17102,431.4766,243.28082
44,328.68124,435.0409,251.2389
45,334.4516,441.9612,252.99669
46,348.7998,451.98605,256.07687
47,362.01373,460.81415,273.95416
48,345.69913,451.31787,254.91089
49,333.48843,440.05847,233.58653
50,323.43738,430.33093,217.0137
51,320.6886,423.9046,198.94255
52,309.88754,418.82153,186.69612
53,306.88416,417.35388,189.03694
54,314.67563,424.41696,202.87633
55,322.63904,431.79843,191.52118
56,331.4508,438.67108,184.95345
57,321.97775,428.7584,174.83531
58,326.39737,433.11023,184.7335
59,328.9583,435.58066,170.84537
60,326.89212,437.5071,167.65768
61,297.06604,385.8194,135.71771
62,289.96945,381.84958,124.64594
63,296.46085,394.86334,86.830605
64,273.27087,371.22305,55.8858
65,252.83932,349.27664,70.451935
66,270.7063,366.79575,53.981705
67,280.76318,375.79245,67.47886
68,288.87872,381.84192,78.25773
69,291.8847,383.11035,73.090195
70,312.82623,413.2968,44.525806
71,313.36853,413.48102,46.942963
72,316.8384,415.12933,50.68629
73,307.52963,396.38766,12.882839
74,292.48645,364.41898,-2.6878254
75,305.69275,381.64944,-30.485294
76,306.68463,383.1409,-61.487835
77,307.91052,383.2616,-59.116074
78,310.97498,386.11688,-51.701706
79,305.71863,383.31848,-62.367718
80,308.4259,386.23944,-83.771515
81,312.85516,387.09357,-80.077965
82,320.73337,393.41553,-88.15543
83,309.95154,381.9416,-110.27389
84,323.36154,390.7166,-121.17289
85,325.38245,390.27243,-117.73223
86,324.32733,389.75687,-134.05151
87,329.5802,392.3073,-138.75076
88,356.59738,433.948,-176.14934
89,345.77133,427.50916,-188.70377
90,341.74673,425.7268,-196.84624
91,348.98505,433.8677,-203.55222
92,358.7328,443.7088,-213.11142
93,379.0383,463.99963,-234.6448
94,376.1762,462.1731,-248.05441
95,383.01712,471.83,-207.35306
96,374.8713,465.2132,-197.6349
97,383.46124,471.92352,-188.1987
98,397.67923,479.64798,-187.01224
99,398.07394,478.64438,-156.08295
100,400.28253,478.4563,-145.77892
101,416.5776,491.6941,-116.350555
102,401.37253,479.86633,-83.86529
103,413.99423,505.0134,-119.6818
104,410.7057,502.77075,-138.35284
105,420.82916,509.23874,-150.04848
106,412.73956,496.61356,-143.3065
107,406.74796,493.64777,-138.38522
108,419.5522,502.91037,-148.10565
109,403.63724,491.44992,-117.30411
110,387.169,478.21423,-129.74615
111,372.95325,468.36743,-112.22334
112,374.1325,469.24213,-115.80481
113,376.25015,471.25684,-114.95285
114,360.86118,462.26126,-125.89188
115,362.7919,461.30988,-127.29989
116,358.21213,458.11493,-120.51796
117,348.9112,451.85318,-120.16183
118,341.33237,447.67337,-110.033745
119,347.71124,450.46997,-116.26554
120,341.67606,447.88428,-107.75054
121,343.8113,448.46884,-102.63797
122,338.28912,445.1356,-84.54157
123,336.11346,441.5516,-58.3584
124,311.9894,405.02283,-10.522115
125,314.57703,405.48682,-16.421865
126,319.61838,408.72046,-35.82039
127,307.80435,403.12085,-35.07533
128,296.1264,394.86432,-23.856798
129,278.71603,374.31647,2.193078
130,278.29962,373.6126,21.088932
131,272.4223,359.98477,22.23679
132,277.9113,362.37454,20.675253
133,263.11673,349.5209,7.139994
134,254.76099,343.89,-2.6543682
135,248.57855,332.37756,-3.6793349
136,262.034,347.58258,18.822197
137,247.39348,325.47556,14.530195
138,243.89928,323.08057,15.856052
139,215.23323,268.4967,43.352585
140,215.63345,269.08173,40.47948
141,220.0249,275.6218,33.72289
142,213.02051,268.0031,42.87049
143,213.53885,269.70297,50.778606
144,199.38177,250.45097,73.83805
145,206.62726,259.25864,56.386047
146,219.69684,275.57217,45.803226
147,228.14655,282.8715,36.32605
148,224.76544,279.30362,42.248672
149,220.998,276.72983,41.482872
150,221.28764,275.31573,38.41432
151,223.42795,274.96423,37.65705
152,221.63138,273.50012,40.833546
153,217.74744,271.9648,28.369467
154,227.3879,279.23758,32.6248
155,222.65671,279.08417,35.9166
156,219.74165,278.82803,32.214535
157,214.45395,276.25763,26.97554
158,230.32101,303.48083,-1.2870162
159,227.63577,299.34723,-11.970173
160,229.20915,300.0078,-25.94784
161,243.27414,315.26602,-38.3569
162,239.0112,313.10147,-32.4436
163,244.17958,315.26523,-41.209824
164,239.81798,312.48822,-44.279247
165,235.24124,309.24,-48.846783
166,228.61266,303.94806,-58.60893
167,216.78223,286.11188,-82.41069
168,231.7243,307.38107,-96.36288
169,231.70822,304.83676,-95.07553
170,231.46593,302.3345,-88.8627
171,225.28914,296.2259,-101.157394
172,224.61943,291.72513,-136.98567
173,228.60512,295.73062,-155.67929
174,225.80804,295.94366,-161.82306
175,222.65096,293.63037,-156.2099
176,219.30363,289.782,-129.9315
177,211.37117,279.54468,-105.90528
178,223.37057,292.2807,-121.372856
179,227.1253,297.80484,-132.13232
180,225.41818,298.2871,-140.04918
181,222.71083,295.7636,-127.8265
182,206.9806,281.97656,-112.57368
183,197.73651,272.55997,-89.97663
184,192.81107,265.18073,-68.09284
185,202.34276,276.25214,-88.24728
186,208.50713,283.95782,-110.00313
187,205.79941,285.87628,-116.11115
188,203.77875,285.7469,-121.16581
189,211.0186,290.77066,-111.31567
190,201.89182,282.93597,-116.90641
191,201.94936,280.82166,-116.158134
192,214.12787,295.5854,-134.1474
193,219.87747,300.4364,-145.90102
194,202.98164,271.8964,-114.71396
195,200.50671,271.09308,-114.9864
196,203.23145,273.55502,-124.22494
197,192.78099,260.63037,-110.65076
198,199.6702,260.52942,-108.50644
199,207.99797,272.26907,-112.03427
200,214.52354,276.96216,-121.318085
201,211.0971,274.72784,-117.03554
202,208.16168,271.88123,-111.68095
203,220.1587,285.5456,-121.35036
204,208.52068,264.14648,-92.58757
205,209.06097,262.23398,-83.20947
206,201.22758,257.21375,-72.2213
207,196.45892,253.28333,-64.96094
208,192.31554,247.6708,-54.11241
209,194.86453,250.9177,-58.29183
210,201.96783,258.0574,-78.955185
211,212.36798,266.61703,-91.18829
212,210.99289,266.47086,-100.74339
213,212.72308,268.72037,-93.23927
214,200.28407,255.05159,-61.88059
215,199.97108,250.70485,-52.9337
216,202.31561,250.23615,-54.685726
217,202.7703,252.09245,-77.72784
218,210.73009,260.3212,-100.51981
219,209.90353,261.90533,-108.37079
220,209.8147,257.9352,-91.37755
221,201.74002,243.0712,-57.87786
222,197.51129,237.10559,-35.637577
223,195.1501,236.3192,-36.67206
224,198.82109,241.22731,-53.866184
225,198.16325,243.63481,-96.77711
226,201.47389,249.49515,-109.002914
227,200.77301,247.91325,-103.86617
228,188.86656,232.86325,-80.34715
229,186.71245,228.62979,-64.932495
230,186.62941,229.75908,-85.550156
231,200.84529,247.27908,-107.639755
232,214.23381,274.4027,-126.76468
233,215.35701,275.17383,-122.711655
234,219.27008,277.9648,-106.829506
235,214.39587,269.0492,-82.251595
236,213.36969,266.11923,-66.592896
237,210.79805,265.01645,-65.31329
238,216.35162,269.59314,-75.13038
239,212.06815,261.8304,-66.741646
240,214.3957,263.422,-72.853004
241,217.0084,265.25232,-67.03135
242,215.13884,264.88025,-77.52463
243,207.49509,259.5548,-69.582214
244,200.51068,251.84404,-56.75032
245,197.51176,250.86339,-50.858067
246,199.45436,252.67224,-33.837242
247,203.39043,256.0812,-24.207417
248,211.84113,266.65833,-15.797084
249,210.91681,265.05975,-18.1372
250,208.73102,262.54962,-14.753867
251,206.23138,260.20535,-1.6956567
252,208.6463,262.6029,3.0985446
253,208.80585,263.65475,11.858738
254,211.28146,265.97388,24.594318
255,222.036,276.12546,33.906162
256,228.44157,283.5521,37.95002
257,233.5249,287.8887,59.755264
258,243.81746,294.9969,75.94709
259,248.87796,296.2821,80.060455
260,247.30905,294.51974,78.32152
261,248.34996,294.8234,88.92848
262,260.68433,304.92075,102.00643
263,263.45062,309.87848,104.956245
264,276.11646,318.38898,110.65126
265,282.4629,322.73337,112.83865
266,269.50742,312.35858,121.78022
267,254.47635,297.47687,131.27106
268,237.77458,272.0914,153.10823
269,252.88275,290.6271,169.268
270,255.6144,296.18796,174.69151
271,262.7079,306.2124,185.14421
272,268.56696,312.98416,192.91754
273,265.47635,306.87628,182.50958
274,252.64272,292.88156,178.0909
275,264.44293,329.94986,144.96495
276,265.3285,330.73663,144.24254
277,287.1657,351.88284,138.07655
278,314.78772,377.0421,141.14052
279,331.52243,389.43585,134.14326
280,341.31924,400.5667,105.20023
281,343.19354,403.2249,71.47751
282,343.4606,407.19424,39.233498
283,356.95566,420.75275,19.082764
284,360.6397,422.00818,22.752922
285,370.7795,428.50546,21.53993
286,376.7476,433.039,8.982945
287,373.67792,429.8734,-12.073473
288,363.18628,421.18878,-38.6847
289,355.7078,414.67633,-58.883545
290,348.8645,408.42746,-64.04476
291,339.73904,398.4535,-67.70758
292,323.94882,383.61316,-66.01974
293,314.38812,375.23126,-81.83158
294,315.50793,376.9921,-91.19101
295,314.15652,379.62836,-111.75522
296,311.92703,379.20834,-131.9782
297,309.53995,376.4469,-135.1642
298,309.0202,375.96277,-130.28767
299,308.3004,373.3794,-134.43712
300,310.20468,373.65756,-115.87308
301,305.06628,372.0169,-112.92479
302,306.17377,372.19995,-118.94217
303,307.12878,370.64447,-118.7153
304,300.77716,363.72098,-115.28488
305,282.16138,342.53137,-113.783066
306,278.33694,339.45966,-95.02459
307,280.61148,342.7331,-86.626434
308,283.4529,345.75604,-108.451515
309,297.71307,357.67673,-118.54084
310,301.76974,363.9224,-133.75467
311,276.67514,323.50336,-109.55354
312,269.76624,318.77902,-93.704544
313,256.1421,302.9968,-68.02865
314,246.86179,291.04758,-52.75763
315,241.6054,285.00406,-39.225395
316,231.62524,268.01285,-38.605743
317,221.93434,258.99176,-30.116163
318,217.62885,253.91469,-12.780291
319,206.7899,239.17403,8.4416
320,201.59302,238.17644,26.183647
321,192.7956,232.15419,38.72754
322,200.53879,244.76016,24.611
323,213.70514,263.8986,2.707696
324,211.48723,262.26645,2.3919406
325,227.45781,288.6847,30.530613
326,242.27615,306.42432,55.173496
327,274.34024,376.2552,31.073753
328,285.41473,386.3988,15.74433
329,289.20575,388.96933,11.792477
330,282.5758,384.45593,3.9713507
331,285.5663,383.24445,-3.1368475
332,300.28845,400.21262,-21.588114
333,316.93066,423.76892,-55.52019
334,305.44357,411.1019,-68.18727
335,309.86862,413.9044,-52.341972
336,301.2371,410.80026,-65.558685
337,300.0216,411.35797,-74.124115
338,300.2123,410.9666,-72.26192
339,311.762,422.578,-95.042274
340,311.87076,423.9262,-98.261284
341,308.77213,422.2278,-101.375435
342,307.0965,420.23868,-101.40827
343,299.48447,417.06497,-111.06013
344,328.33432,461.06467,-142.72472
345,327.18002,460.5953,-161.05255
346,329.08676,461.58557,-172.32234
347,328.41904,461.85776,-173.50269
348,337.41562,463.03384,-178.92668
349,346.3973,467.88046,-184.62062
350,349.41418,471.66077,-189.71254
351,348.05057,473.4222,-200.92577
352,338.64774,466.59116,-188.91078
353,333.79083,462.87744,-186.31778
354,328.0925,461.15176,-193.47614
355,322.73907,458.6538,-184.62637
356,327.03125,458.3642,-173.0567
357,328.74588,458.7973,-165.65099
358,314.4287,447.05093,-143.4936
359,303.1649,433.1573,-115.48969
360,308.39017,436.06143,-123.414604
361,324.55923,466.01636,-119.617485
362,313.8587,455.4614,-141.46301
363,284.86697,404.3736,-96.89821
364,270.7865,396.6117,-82.999504
365,270.94534,398.2587,-62.099236
