forecast_day,mae_original,rmse_original,bias_original
1,323.99228,409.42917,-139.61383
2,335.29602,411.68948,-117.69903
3,329.5094,408.41916,-107.75491
4,304.7203,376.80933,-84.55364
5,285.85834,360.1708,-76.4476
6,280.41214,361.3202,-97.07488
7,282.5677,366.16418,-130.41267
8,286.92624,371.39737,-129.15282
9,279.90854,362.89505,-106.93997
10,281.73178,360.47476,-107.49184
11,280.42816,355.09793,-95.92099
12,286.05426,353.20676,-64.48361
13,286.7922,348.1849,-39.47078
14,279.89307,334.35522,3.5462477
15,280.84387,334.3542,10.86634
16,286.7729,339.47543,6.6896734
17,287.6246,345.09497,-11.090908
18,278.86417,344.0091,-44.886375
19,261.20584,329.55402,-40.11602
20,256.2348,331.59525,-57.456272
21,268.89896,347.1357,-55.082325
22,261.70074,341.01746,-50.45751
23,263.06396,341.16318,-48.97737
24,260.68686,337.9778,-40.81169
25,271.78723,356.48315,22.751108
26,275.38782,359.79376,40.55957
27,276.7203,360.141,43.86628
28,284.49622,366.70056,43.510963
29,282.505,364.74487,27.688242
30,278.47287,361.57065,15.003231
31,276.97162,365.83267,23.412981
32,264.48666,355.3158,37.857162
33,250.73155,337.9834,50.41376
34,244.83904,337.30035,38.636047
35,239.86708,336.2483,24.106998
36,235.98811,332.3421,12.742022
37,254.25568,354.9349,24.45262
38,275.6416,401.48184,37.520275
39,276.30383,398.3557,30.804348
40,279.19843,394.8006,28.830305
41,280.18198,393.8249,21.555685
42,284.95087,393.62808,27.95736
43,274.5498,385.31723,64.93663
44,273.0138,388.32178,90.50318
45,274.1909,391.99484,106.89353
46,268.00732,384.67804,101.437096
47,265.6324,379.49722,104.7063
48,261.89825,378.06506,86.90805
49,265.65527,377.9896,82.90308
50,271.47885,382.8336,92.15271
51,270.63513,383.48404,96.3826
52,274.6837,388.3538,94.535126
53,276.16898,385.20993,84.191025
54,274.34723,386.81384,84.81503
55,286.04993,395.81586,83.83887
56,301.90308,406.53986,98.87905
57,300.08792,409.94135,109.92331
58,312.67245,423.8352,141.4948
59,310.7223,424.88065,146.65479
60,311.24768,417.96683,152.4369
61,290.16882,384.48453,132.98961
62,293.17392,384.15906,140.97972
63,307.7762,396.85376,117.373184
64,295.22745,389.26797,89.95267
65,255.97472,338.25583,95.48317
66,252.20944,334.13885,62.81414
67,261.45993,342.7968,70.605385
68,268.93607,348.72488,94.20286
69,275.3868,353.49612,111.55333
