forecast_day,mae_original,rmse_original,bias_original
1,377.09863,447.73172,24.256456
2,404.73273,496.616,81.653046
3,440.90195,544.7002,141.75706
4,468.34912,578.0688,217.94049
5,473.34528,580.0246,269.8016
6,469.73633,569.91675,271.02484
7,445.0419,539.52795,245.97583
8,446.91135,541.11584,246.78516
9,441.51953,534.2439,263.79547
10,437.06656,519.93835,251.00848
11,421.57858,499.24033,244.5248
12,423.09644,494.95477,251.4826
13,419.71793,482.96616,241.25652
14,399.00922,457.87418,258.46344
15,383.8039,442.32263,258.2601
16,392.4618,446.92807,262.94153
17,395.70834,452.9729,261.91187
18,387.41446,445.20468,250.93488
19,382.6999,441.03275,272.07874
20,372.08252,431.64505,259.0747
21,383.75037,444.04227,269.00806
22,386.81262,445.87744,285.572
23,390.75275,450.33032,288.6488
24,383.07095,442.70856,280.0828
25,410.50043,491.4455,324.22256
26,410.10522,490.8406,323.51865
27,401.63416,483.22894,314.67908
28,412.496,493.47894,325.2651
29,412.48572,493.55402,324.8571
30,404.63785,487.66174,316.99643
31,408.1963,489.55215,320.5433
32,411.22552,490.96277,333.41254
33,413.09048,491.7022,344.05533
34,397.92233,479.13965,328.9
35,404.25168,482.1405,322.69427
36,404.7179,482.21588,322.3495
37,423.86264,511.687,341.51236
38,433.31506,529.61084,351.00397
39,428.79642,526.06305,346.51202
40,427.74698,524.74664,345.484
41,419.44006,520.26636,329.80756
42,417.97354,519.5555,328.35327
43,415.62445,518.0885,346.47873
44,411.9474,514.60535,342.8068
45,399.3312,507.83795,330.19666
46,402.72864,508.44727,325.18457
47,421.14435,520.7799,344.34024
48,407.9338,514.611,331.13162
49,408.41638,514.70416,325.70087
50,412.31354,517.0606,329.59976
51,410.95795,516.97534,328.24405
52,402.91138,511.1378,320.19843
53,397.16455,504.92212,314.45117
54,397.0714,504.865,314.35782
55,394.2815,502.38495,289.48624
56,399.10056,505.30228,272.54202
57,382.998,491.88428,249.46024
58,381.6869,490.7501,248.14952
59,371.74792,482.11765,224.6784
60,365.3617,479.65848,218.29216
61,335.04553,427.1337,187.97601
62,328.66687,424.65656,178.78757
63,343.50986,443.64886,147.92554
64,328.55096,430.27768,126.226234
65,310.47644,413.0406,148.56659
66,317.88986,419.49677,128.42589
67,323.15656,424.79944,133.69263
68,327.209,428.22055,137.74504
69,326.7918,428.00864,125.66666
70,352.73697,462.76813,92.51663
71,356.22717,465.76898,89.02628
72,358.10632,466.04443,87.14737
73,342.9915,438.0183,40.58287
74,324.14865,401.22372,21.740011
75,332.94394,411.8641,-5.5836315
76,333.36832,412.52823,-41.422733
77,337.16605,414.37506,-45.220383
78,340.0027,416.2958,-42.383762
79,332.938,413.63455,-51.068005
80,330.19806,411.15317,-71.81703
81,337.41205,414.24667,-64.60293
82,340.89697,416.04443,-68.08792
83,325.7935,401.1049,-90.54014
84,338.75378,408.69794,-103.71897
85,340.1348,409.14127,-105.10018
86,335.44705,405.71686,-121.63512
87,337.79578,406.0122,-124.4691
88,356.5099,431.2681,-155.85707
89,349.6273,426.09668,-162.73947
90,343.2929,423.24408,-169.0739
91,344.64703,424.59158,-170.42792
92,345.00473,424.9269,-170.78557
93,355.63818,432.7877,-181.41905
94,345.54956,427.63162,-193.63406
95,366.53717,457.1105,-159.11458
96,373.35742,459.981,-152.29433
97,387.38858,474.76382,-138.26308
98,400.4723,482.5833,-122.36979
99,400.87714,483.2792,-76.2599
100,412.6563,491.33698,-57.740288
101,438.0741,518.2409,-32.32244
102,435.54132,516.035,-7.3012
103,445.02887,528.5794,-45.667446
104,437.42737,524.30273,-62.122208
105,439.37683,525.21295,-64.071655
106,419.88333,498.05365,-44.578033
107,409.05856,492.213,-29.736183
108,422.33868,501.33215,-43.016296
109,412.73145,493.7404,-21.173912
110,401.8524,487.4336,-36.974
111,385.57098,475.35678,-17.13639
112,380.33606,469.16574,-11.901381
113,373.53336,467.0299,-3.7364264
114,365.70715,463.811,-11.562622
115,371.94418,465.7088,-17.799648
116,371.47037,465.38763,-17.325888
117,365.16058,462.76007,-23.635708
118,363.6983,461.9676,-22.173418
119,372.82654,467.7913,-31.301662
120,362.66653,461.5021,-21.141653
121,359.8141,460.85385,-15.319085
122,355.39172,459.56958,-10.896783
123,353.36108,459.31885,-8.866137
124,330.19467,434.17703,18.069519
125,333.60284,436.20987,3.6488545
126,342.69147,441.19885,-9.729937
127,333.8023,435.39407,-0.8407559
128,323.88892,430.21338,11.724766
129,310.1821,421.7927,25.431572
130,311.4779,421.98187,28.853842
131,299.50143,399.12448,16.87736
132,297.63983,397.80588,1.1968926
133,279.4093,378.22177,-21.959831
134,267.72662,368.48093,-39.254074
135,256.98666,349.208,-49.994022
136,258.26053,351.275,-48.720158
137,235.20312,311.1198,-71.777534
138,230.44977,306.20367,-76.53098
139,207.75426,270.56497,-51.372616
140,208.15451,270.81128,-51.772865
141,210.004,272.94308,-53.62236
142,202.8078,266.74515,-40.710667
143,206.68176,268.80005,-36.836742
144,198.28766,255.0493,-12.999516
145,193.59879,252.53978,-20.54586
146,199.44513,256.9874,-26.392212
147,200.90744,257.5009,-31.41071
148,189.13878,245.69255,-17.385918
149,201.29274,257.44656,-5.231961
150,206.49149,260.34082,-0.033226863
151,204.95337,259.00214,12.522261
152,211.88942,270.32257,36.519905
153,216.88295,273.43674,41.513412
154,226.4893,287.0514,63.57878
155,224.02057,283.44714,86.715355
156,234.95619,294.853,103.46999
157,245.13564,302.9143,113.649445
158,256.47992,312.43588,102.305145
159,261.5254,314.22333,108.47191
160,260.83838,314.102,105.389725
161,263.18594,316.80475,103.042145
162,255.67377,310.35583,117.99738
163,254.03879,309.84558,119.63231
164,257.62402,311.142,123.21753
165,260.806,311.88013,127.232285
166,261.36884,312.05164,127.79513
167,249.47028,298.25635,108.13966
168,261.23132,315.8914,96.37859
169,263.158,316.64282,94.45197
170,265.5094,317.7054,92.10054
171,260.35617,311.84668,72.21889
172,255.9752,304.5635,43.75331
173,254.08119,303.76852,36.660713
174,248.2701,301.28937,29.490318
175,249.63235,301.6005,25.665192
176,250.55995,302.18573,36.24657
177,246.6054,298.55884,51.55123
178,256.32553,307.4715,36.11555
179,254.4694,306.39288,34.259403
180,251.05583,303.97092,30.845856
181,254.22,305.09714,36.867535
182,248.22151,301.31702,42.866047
183,245.16653,300.69116,46.291843
184,245.76364,300.79312,46.888973
185,245.29498,300.08548,21.687473
186,240.70451,297.70374,13.071934
187,238.4389,296.50247,10.806379
188,224.5956,281.77393,-3.0369635
189,225.41617,282.57132,-2.2163916
190,212.55809,266.71683,-21.030075
191,202.71738,259.42664,-31.857235
192,202.02464,258.1258,-58.854736
193,196.86761,251.50592,-77.02668
194,194.02058,246.80745,-54.182644
195,191.15778,245.05797,-62.532085
196,198.81622,250.64961,-70.190544
197,188.04903,241.3878,-58.433758
198,188.18407,241.46413,-66.01181
199,200.60596,255.99454,-78.43371
200,202.27086,257.33585,-89.921234
201,201.24425,256.8924,-90.94786
202,198.4916,256.29553,-94.038895
203,211.11905,273.777,-106.66633
204,197.03545,251.32072,-83.40881
205,194.02338,250.07343,-80.3967
206,189.3811,248.1709,-75.75446
207,190.28079,249.18863,-76.654144
208,189.33551,247.60355,-75.70883
209,196.29349,253.6781,-82.66681
210,204.1457,258.75955,-90.51904
211,203.21179,258.48306,-86.26557
212,201.374,257.24237,-88.10335
213,205.70786,261.9554,-83.7695
214,198.13895,252.64304,-66.18263
215,201.15396,255.0094,-77.25031
216,203.31285,256.64615,-88.02522
217,206.71571,259.6332,-100.61396
218,210.89284,262.16748,-104.7911
219,212.23657,262.32562,-103.44735
220,215.05107,263.53275,-100.632866
221,210.59685,257.28934,-96.17863
222,209.61504,257.0802,-93.13541
223,208.01779,256.53284,-94.73263
224,211.63457,258.26886,-91.115906
225,208.43248,255.3845,-103.96825
226,206.08716,254.78702,-100.35794
227,205.98357,254.78056,-99.47506
228,194.44003,242.44345,-87.93153
229,189.62073,239.49309,-83.11218
230,190.89992,241.52998,-104.38842
231,201.11664,253.20433,-114.6051
232,211.0458,272.0161,-124.53429
233,215.98412,273.94644,-119.59598
234,219.2193,276.26392,-108.647675
235,211.04239,265.16794,-88.23877
236,208.97678,263.6088,-77.15199
237,207.81366,263.29245,-78.315094
238,212.64288,264.99307,-83.1443
239,203.38509,249.60892,-73.88653
240,204.87286,250.75018,-84.54828
241,205.62642,250.9399,-81.039505
242,209.4726,252.28156,-84.88566
243,202.08968,247.41745,-75.74081
