forecast_day,mae_original,rmse_original,bias_original
1,212.61562,280.91635,-55.12433
2,220.4388,285.86115,-51.611217
3,232.47374,295.6466,-65.44033
4,238.59933,300.1907,-75.27121
5,242.3766,304.60193,-74.62891
6,242.14313,305.04025,-82.70594
7,240.44089,304.2798,-89.475365
8,238.91623,302.4408,-86.486374
9,236.7093,300.43442,-85.33377
10,237.00189,301.40152,-92.29349
11,243.45331,306.0602,-97.32943
12,244.80006,306.40863,-93.3212
13,244.75046,307.9225,-96.03002
14,245.15813,309.14172,-100.52107
15,239.71355,303.543,-84.37513
16,237.45033,301.24686,-79.32592
17,244.57921,307.9096,-92.56466
18,248.33015,312.18097,-103.01879
19,249.24442,312.01367,-95.85563
20,244.43253,307.0768,-92.74855
21,242.9915,306.1419,-95.161514
22,238.54688,301.37097,-81.349846
23,240.8966,306.57718,-72.92998
24,243.35307,308.93738,-84.877525
25,245.71587,310.54324,-81.91738
26,243.42482,307.95663,-74.01768
27,244.90305,309.58478,-76.028915
28,246.33115,312.11832,-80.637344
29,244.97641,310.2551,-68.70956
30,241.49011,305.83127,-57.34955
31,246.69162,309.78607,-65.76075
32,248.96982,311.4126,-64.82228
33,246.9195,308.80838,-58.953255
34,248.56569,309.90143,-58.168983
35,249.49281,311.3778,-64.35011
36,246.88728,309.87912,-62.1963
37,240.24522,302.4995,-56.996864
38,240.10324,301.9013,-60.873543
39,240.43604,300.59955,-57.087673
40,240.17964,298.7487,-47.712765
41,240.14616,299.7413,-57.496193
42,240.90662,302.33057,-63.28652
43,239.2075,301.66788,-53.65526
44,234.46997,294.82053,-45.575123
45,232.5547,292.78442,-49.398598
46,230.54202,291.22006,-52.285133
47,233.11143,292.7176,-50.7817
48,234.54549,296.20145,-55.759716
49,233.86269,296.79144,-61.459396
50,235.28136,302.2668,-51.10881
51,234.89217,302.37497,-41.392548
52,242.46202,318.4858,-54.527916
53,246.49023,319.81818,-55.926826
54,248.68472,320.15735,-50.24416
55,247.06001,319.50055,-45.79196
56,248.46434,322.54813,-50.943348
57,250.55447,326.43768,-46.75369
58,255.59007,332.21692,-47.642338
59,257.8208,333.66394,-47.444485
60,259.08066,334.34808,-38.647526
61,258.6639,333.39,-28.5414
62,256.46863,332.26404,-27.752619
63,257.13562,332.85382,-29.784306
64,258.63367,334.58182,-30.753464
65,257.9492,334.30612,-32.03107
66,259.67944,335.1179,-37.682384
67,260.3153,334.22733,-29.716879
68,260.9944,333.98035,-20.07393
69,266.65323,344.67703,-26.483217
70,265.2112,343.83566,-25.022766
71,264.59375,343.95688,-17.58368
72,264.82556,344.4207,-15.935942
73,265.41513,344.31943,-19.878338
74,267.39948,345.1395,-22.946585
75,268.9763,345.25223,-22.809404
76,265.9751,343.17267,-25.390833
77,264.16754,342.31226,-26.874561
78,262.57913,342.4023,-27.821377
79,262.72366,342.74695,-31.922966
80,260.91946,341.88345,-35.420784
81,260.132,339.85468,-30.40324
82,258.26166,336.729,-18.65483
83,254.77583,333.21408,-10.457669
84,249.68265,325.26395,0.61473745
85,251.52321,326.54767,3.349617
86,260.6923,343.3871,11.882055
87,260.2052,342.25824,6.7281165
88,262.9658,343.76205,8.700033
89,264.56958,345.13724,14.235538
90,265.28564,345.8735,20.548119
